Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Globorotalia zealandica,Globorotalia miozea,Globoquadrina dehiscens,Globigerinoides bisphericus,Globigerina praebulloides,Catapsydrax unicavus,Globigerina euapertura,Globorotalia conica,Paragloborotalia opima nana,Globorotalia praemenardii,Orbulina suturalis,Paragloborotalia mayeri,Neogloboquadrina pachyderma,Neogloboquadrina continuosa,Chiloguembelina sp.,Globorotalia puncticuloides,Globigerina bulloides,Globorotalia puncticulata,Globorotalia crassula,Globorotalia inflata,Globigerina quinqueloba,Globorotalia cf. Gr. hirsuta,Globorotalia crassaformis,Orbulina universa,Globigerinita uvula,Globorotalia truncatulinoides,Globorotalia scitula,Globigerina spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 24,X,CC,   0.00,    195.4200,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,                           ,R                    ,                         ,P                    ,R                   ,F                      ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 25,X,CC,   0.00,    204.8700,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,                           ,R                    ,                         ,P                    ,R                   ,F                      ,                            ,                         ,                 ,                   ,                             ,                    ,F               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 26,X, 2,   7.00,    215.5700,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,                           ,R                    ,                         ,                     ,P                   ,A                      ,                            ,                         ,                 ,                   ,P                            ,R                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 26,X,CC,   0.00,    217.9900,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,P                          ,R                    ,                         ,P                    ,P                   ,F                      ,                            ,                         ,P                ,P                  ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
