Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidina bulloides,Notorotalia spinosa,Nonionella novozealandica,Melonis maorica,Cibicidoides perforatus,Cibicidoides pachyderma,Astrononion parki,Anomalinoides sphericus,Anomalinoides macraglabra,Stilostomella verneuilii,Lenticulina spp.,Kolesnikovella australis,Gyroidinoides spp.,Discorotalia tenuissima,Cibicides temperata,Bulimina miolaevis,Bolivina spp.,Anomalinoides fasciatus,Siphonina australis,Oridorsalis umbonatus,Cibicides notocenicus,Anomalinoides spp.,Cibicidoides spp.,Cassidulina carinata,Uvigerina spp.,Pullenia quinqueloba,Pullenia bulloides,Oolina spp.,Laticarinina pauperata,Globocassidulina spp.,Bolivinopsis sp.,Melonis pompilioides,Globocassidulina subglobosa,Eggerella bradyi,Quinqueloculina spp.,Nuttallides umbonifera,Fissurina spp.,Melonis barleeanus,Pyrgo murrhina,Epistominella exigua,Quinqueloculina venusta,Karreriella bradyi,Textularia spp.,Globobulimina turgida,Trifarina angulosa,Notorotalia spp.,Cassidulina minuta,Nonionellina flemingi,Miliolinella subrotundata,Elphidium advenum,Bolivinita pliozea,Uvigerina dirupta,Pileolina spp.,Gavelinopsis praegeri,Elphidium charlottense,Discorbinella complanata,Bulimina marginata,Neouvigerina sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 16,X,CC,  15.00,    122.8800,forams   ,Benthic Foraminifers                         ,               ,VG                ,T                     ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,R                    ,                     ,                  ,                 ,                    ,              ,R                   ,R                 ,           ,                      ,T                    ,                ,                    ,                           ,R               ,                    ,T                     ,              ,F                 ,T             ,                    ,R                      ,T                 ,T              ,                     ,                  ,T               ,                  ,                     ,                         ,                 ,                  ,T                ,              ,                     ,R                     ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 24,X,CC,   0.00,    195.4200,forams   ,Benthic Foraminifers                         ,               ,VG                ,                      ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,                    ,              ,                    ,R                 ,           ,                      ,                     ,                ,                    ,                           ,T               ,                    ,                      ,R             ,                  ,T             ,                    ,                       ,                  ,               ,                     ,F                 ,T               ,                  ,                     ,                         ,F                ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 25,X,CC,   0.00,    204.8700,forams   ,Benthic Foraminifers                         ,               ,VG                ,R                     ,                   ,                         ,               ,                       ,F                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,R                    ,                     ,                  ,                 ,R                   ,              ,T                   ,R                 ,T          ,                      ,                     ,                ,                    ,T                          ,T               ,                    ,                      ,T             ,F                 ,T             ,F                   ,T                      ,                  ,T              ,                     ,F                 ,                ,                  ,                     ,R                        ,T                ,                  ,                 ,              ,                     ,T                     ,                        ,T                 ,T               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 26,X, 2,   7.00,    215.5700,forams   ,Benthic Foraminifers                         ,               ,VG                ,T                     ,                   ,                         ,               ,                       ,                       ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,T                    ,                     ,T                 ,                 ,F                   ,              ,                    ,T                 ,           ,                      ,                     ,                ,                    ,T                          ,                ,                    ,                      ,T             ,C                 ,              ,T                   ,                       ,                  ,               ,                     ,C                 ,                ,                  ,T                    ,T                        ,T                ,                  ,T                ,T             ,T                    ,T                     ,R                       ,T                 ,                ,       
