Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
182,1131,A,Shipboard                ,     136.100,    0.450000,P. lacunosa
,,,,,,
182,1131,A,Shipboard                ,     251.610,    0.880000,R. asanoi
,,,,,,
182,1131,A,Shipboard                ,     295.150,    0.780000,Brunhes/Matuyama
,,,,,,
182,1131,A,Shipboard                ,     333.500,    0.990000,Top Jaramillo
,,,,,,
182,1131,A,Shipboard                ,     445.100,    1.670000,C. macintyrei
,,,,,,
182,1131,A,Shipboard                ,     517.250,    2.000000,G. truncatulinoides
,,,,,,
182,1131,A,Shipboard                ,     527.025,    4.500000,G. crassiformis
,,,,,,
182,1131,A,Shipboard                ,     527.055,    5.800000,G. dehiscens
,,,,,,
182,1131,A,Shipboard                ,     559.320,   10.800000,C. miopelagicus
,,,,,,
182,1131,A,Shipboard                ,     573.630,   13.600000,S. heteromorphus
,,,,,,
