Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Quadrum sissinghii	Micula decussata	Marthasterites inconspicuus	Cretarhabdus loriei	Cretarhabdus crenulatus	Ceratolithoides aculeus	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius crassus	Thoracosphaera saxea	Sphenolithus radians	Sphenolithus moriformis	Ericsonia formosa	Discoaster lodoensis	Discoaster binodosus	Discoaster barbadiensis	Coccolithus pelagicus	Chiasmolithus grandis	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Discoaster saipanensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Chiasmolithus oamaruensis	Discoaster adamanteus	Isthmolithus recurvus	Ericsonia subditicha	Cyclicargolithus abisectus	Reticulofenestra daviesii	Sphenolithus delphix	Sphenolithus calyculus	Discoaster druggii	Discoaster deflandrei	Reticulofenestra minutula	Reticulofenestra pseudoumbilicus	Schyphosphaera spp.	Calcidiscus leptoporus	Discoaster variabilis	Discoaster brouweri	Reticulofenestra gelida	Discoaster calcaris	Discoaster hamatus	Discoaster bollii	Comment



  IR	                 	Late Miocene     	NN10              	              		197	1203	A	  1	R	 1	  68.00	    300.6800	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	R                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	C                        	                                	                   	                      	                     	R                  	                       	                   	                  	                 	       

  IR	                 	Late Miocene     	NN10              	NN8           		197	1203	A	  1	R	 3	  67.00	    303.6700	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	R                    	                   	                       	                   	                  	                 	       

  IR	                 	Late Miocene     	NN10              	NN8           		197	1203	A	  1	R	CC	   8.00	    304.5900	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	C                        	                                	                   	                      	                     	                   	                       	                   	                  	R                	       

  IR	                 	Late Miocene     	NN10              	NN8           		197	1203	A	  2	R	 1	 105.00	    310.6500	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	R                    	                   	                       	                   	R                 	                 	       

