Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina haeringensis,Vaginulinopsis nummulitica,Vaginulinopsis fragaria,Stilostomella rohri,Stilostomella gr. jarvisi,Spiroloculina spp.,Rectuvigerina mexicana,Ramulina sp.,Pyramidina africana,Pullenia quinqueloba,Pullenia eocaenica,Pseudonodosaria cf. conica,Psammosphaera eocenica,Pleurostomella naranjoensis,Pleurostomella brevis,Plectofrondicularia sp.,Osangularia pteromphalia,Oridorsalis umbonatus,Nuttallides truempyi,Nonion havanensis,Nodosaria maximiliana,Nodosarella cf. tuberosa,Nodosarella cf. advena,Marginulina spp.,Marginulina pediformis,Lenticulina spp.,Lagena sulcata basisenta,Lagena crowleyi,Lagena apiopleura,Karreriella siphonella,Gyroidinoides octocameratus,Gyroidinoides girardanus,Globulina inaequalis,Globocassidulina subglobosa,Florilus florinensis,Fissurina sp.,Fissurina cf. F. orbignyana,Ellipsoglandulina ? cf. multicostata,Ellipsoglandulina labiata,Eggerella palmerae,Dentalina pulchrella,Dentalina guttifera,Dentalina gr. cooperensis,Cibicidoides grimsdalei,Cibicidoides eocaenus,Chrysalogonium vicksburgense,Chrysalogonium laeve,Chrysalogonium cf. tenuiscostatum,Chrysalogonium asperum,Caucasina ? n? sp.,Bulimina trinitatensis,Bulimina semicostata,Bulimina macilenta,Bulimina impendens,Astacolus sp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Uvigerina peregrina,Uvigerina hispida,Stilostomella adolphina,Pyrgo sp.,Nodosaria vertebralis,Melonis pompilioides,Melonis parkerae,Lagena sp.,Hoeglundina elegans,Globobulimina sp.,Fursenkoina pauciloculata,Fursenkoina complanata,Fontbotia wuellerstorfi,Epistominella exigua,Dentalina communis,Cibicidoides mundulus,Cibicides robertsonianus,Ceratobulimina pacifica,Cassidulina laevigata,Cassidulina crassa,Cancris oblonga,Bulimina striata mexicana,Bulimina rostrata,Bulimina aculeata,Bolivina cf. subspinescens,Stilostomella consobrina,Pyrgo serrata,Pyrgo murrhina,Lenticulina gibba,Lagena striata,Frondicularia sp.,Fissurina marginata,Dentalina sp.,Quinqueloculina sp.,Bulimina marginata,Pyrgo depressa,Globobulimina ovata,Bolivina sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,159, 960,C,  1,H, 1,  49.00,      0.4900,Levy     ,Benthic Foraminifers                         ,               ,                  ,                      ,                          ,                       ,                   ,                         ,                  ,                      ,            ,                   ,1                   ,                  ,                          ,                      ,                           ,                     ,                       ,                        ,                     ,                    ,                 ,                     ,                        ,                      ,                ,                      ,                ,                        ,               ,                 ,                      ,                           ,                        ,                    ,                           ,                    ,             ,                           ,                                    ,                         ,                  ,                    ,                   ,                         ,                       ,                     ,                            ,                    ,                                 ,                      ,                  ,                      ,                    ,                  ,                  ,             ,                          ,                           ,14                 ,15               ,                       ,         ,                     ,                    ,10              ,1         ,5                  ,                 ,1                        ,                      ,2                      ,13                  ,                  ,3                    ,                        ,1                      ,19                   ,                  ,               ,                         ,9                ,                 ,1                         ,                        ,1            ,1             ,                 ,              ,                 ,                   ,             ,                   ,4                 ,1             ,1                  ,1           ,Total count = 55; From Leg 159SR Ch 44 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,159, 960,C,  1,H, 4,  50.00,      5.0000,Levy     ,Benthic Foraminifers                         ,               ,                  ,                      ,                          ,                       ,                   ,                         ,                  ,                      ,            ,                   ,1                   ,                  ,                          ,                      ,                           ,                     ,                       ,                        ,                     ,                    ,                 ,                     ,                        ,                      ,                ,                      ,                ,                        ,               ,                 ,                      ,                           ,                        ,                    ,                           ,                    ,             ,                           ,                                    ,                         ,                  ,                    ,                   ,                         ,                       ,                     ,                            ,                    ,                                 ,                      ,                  ,                      ,                    ,                  ,                  ,             ,                          ,                           ,5                  ,7                ,                       ,         ,                     ,2                   ,4               ,          ,10                 ,                 ,                         ,                      ,                       ,24                  ,                  ,3                    ,                        ,                       ,32                   ,                  ,               ,2                        ,                 ,                 ,                          ,                        ,             ,1             ,                 ,              ,1                ,1                  ,             ,1                  ,1                 ,              ,                   ,            ,Total count = 41; From Leg 159SR Ch 44 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,159, 960,C,  2,H, 3,  50.00,      9.7000,Levy     ,Benthic Foraminifers                         ,               ,                  ,                      ,                          ,                       ,                   ,                         ,                  ,                      ,            ,                   ,                    ,                  ,                          ,                      ,                           ,                     ,                       ,                        ,                     ,                    ,                 ,                     ,                        ,                      ,                ,                      ,                ,                        ,               ,                 ,                      ,                           ,                        ,                    ,                           ,                    ,             ,                           ,                                    ,                         ,                  ,                    ,                   ,                         ,                       ,                     ,                            ,                    ,                                 ,                      ,                  ,                      ,                    ,                  ,                  ,             ,                          ,                           ,3                  ,14               ,13                     ,         ,1                    ,2                   ,3               ,          ,11                 ,                 ,2                        ,                      ,                       ,18                  ,                  ,8                    ,                        ,                       ,2                    ,                  ,               ,                         ,2                ,                 ,                          ,2                       ,1            ,1             ,2                ,1             ,1                ,1                  ,5            ,                   ,                  ,              ,                   ,            ,Total count = 64; From Leg 159SR Ch 44 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,              ,159, 960,C,  2,H, 7,  50.00,     15.7000,Levy     ,Benthic Foraminifers                         ,               ,                  ,                      ,                          ,                       ,                   ,                         ,                  ,                      ,            ,                   ,2                   ,                  ,                          ,                      ,                           ,                     ,                       ,                        ,                     ,                    ,                 ,                     ,                        ,                      ,                ,                      ,                ,                        ,               ,                 ,                      ,                           ,                        ,                    ,                           ,                    ,1            ,1                          ,                                    ,                         ,                  ,                    ,                   ,                         ,                       ,                     ,                            ,                    ,                                 ,                      ,                  ,                      ,                    ,                  ,                  ,             ,                          ,                           ,36                 ,13               ,21                     ,1        ,6                    ,1                   ,16              ,1         ,53                 ,1                ,1                        ,8                     ,1                      ,9                   ,40                ,7                    ,1                       ,1                      ,2                    ,1                 ,1              ,1                        ,1                ,1                ,1                         ,                        ,             ,              ,                 ,              ,                 ,                   ,             ,                   ,                  ,              ,                   ,            ,Total count = 177; From Leg 159SR Ch 44 Table 1
