Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiroplectammina mississippiensis,Nonionella pizarrensis,Marginulina dubia,Lenticulina americana americana,Hanzawaia concentrica,Cibicidoides spp.,Cassidulina laevigata,Globocassidulina subglobosa,Uvigerina juncea,Lenticulina spp.,Buliminella gracilis,Bolivina calvertensis,Nonionella miocenica,Cassidulina havanensis,Buliminella elegantissima,Bolivina paula,polymorhinids xxx,Textularia agglutinans,Bolivina lowmanni,Bolivina spp.,Fursenkoina fusiformis,Uvigerina subperegrina,Hanzawaia hughesi,Stilostomella spp.,Elphidium excavatum (Terquem) forma lidoensis,Cassidulina teretis,Elphidium excavatum f. clavatum,Astacolus sp.,Elphidium articulatum,Quinqueloculina seminulum,Pyrgo spp.,Globobulimina auriculata,Bulimina marginata,Fursenkoina sp.,Triloculina trigonula,Lagena spp.,Cassidulina norcrossi,Bolivina subaenariensis,Rosalina spp.,Cassidulina crassa,Buccella frigida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  1,R,CC,  15.00,      2.2200,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,R                     ,                      ,                 ,                  ,A                                            ,                   ,A                              ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"inner-middle neritic (<100m) A qtz, A mica, R glauc, no plank"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  2,R,CC,   8.00,      9.5900,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,+                                            ,                   ,+                              ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  3,R,CC,   0.00,     19.6000,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,R                     ,                      ,                 ,                  ,A                                            ,                   ,F                              ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"inner-middle neritic (<100m) A mica, A qtz, R pyrite, F echin spines no planktonics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  4,R,CC,  19.00,     30.8100,Katz     ,Benthic Foraminifers                         ,A              ,VG                ,                                 ,                      ,                 ,                               ,                     ,R                ,                     ,                           ,                ,                ,                    ,                     ,A                   ,                      ,                         ,              ,F                ,                      ,                 ,             ,F                     ,                      ,                 ,                  ,C                                            ,                   ,A                              ,             ,C                    ,A                        ,C         ,R                       ,R                 ,               ,                     ,           ,R                    ,                       ,R            ,F                 ,F               ,       
