Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae	Syracosphaera pulchra	Rhabdosphaera clavigera	Reticulofenestra spp. (small - medium)	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Pontosphaera spp.	Helicosphaera carteri	Gephyrocapsa spp. (small)	Florisphaera profunda	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera pavimentum	Helicosphaera hyalina	Gephyrocapsa oceanica	Gephyrocapsa margerelii	Gephyrocapsa caribbeanica	Thorosphaera flabellata	Syracosphaera spp.	Scapholithus fossilis	Oolithotus antillarum	Umbellosphaera irregularis	Discosphaera tubifera	Sphenolithus abies/neoabies	Reticulofenestra pseudoumbilicus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster variabilis	Emiliania huxleyi	Helicosphaera wallichii	Umbellosphaera tenuis	Comment



  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  1	H	CC	  10.00	      6.8000	nannos   	Nannofossils                                 	A              	VG                	C                      	F                    	F                      	                                      	                       	R                       	F                	C                    	R                        	A                    	                     	                      	C                     	                        	                     	A                    	C                      	                         	                       	F                 	F                    	                     	F                         	R                    	                           	                                	                        	                   	                     	A                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  2	H	CC	  15.00	     16.6100	nannos   	Nannofossils                                 	A              	VG                	C                      	R                    	R                      	F                                     	                       	F                       	F                	C                    	C                        	C                    	R                    	R                     	R                     	                        	                     	A                    	C                      	F                        	                       	R                 	R                    	                     	R                         	R                    	F                          	F                               	F                       	F                  	                     	A                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  3	H	CC	  28.00	     26.5400	nannos   	Nannofossils                                 	A              	VG                	C                      	C                    	F                      	                                      	                       	                        	                 	F                    	F                        	A                    	                     	                      	F                     	R                       	R                    	A                    	R                      	R                        	                       	R                 	R                    	R                    	F                         	R                    	                           	                                	                        	                   	                     	A                	R                      	R                    	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  4	H	CC	  18.00	     36.0700	nannos   	Nannofossils                                 	A              	VG                	R                      	F                    	F                      	                                      	                       	                        	                 	F                    	F                        	A                    	R                    	                      	F                     	                        	                     	A                    	                       	                         	                       	R                 	R                    	R                    	R                         	                     	                           	                                	                        	                   	                     	A                	R                      	                     	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  5	H	CC	  20.00	     45.3200	nannos   	Nannofossils                                 	A              	VG                	C                      	F                    	C                      	                                      	                       	                        	R                	F                    	F                        	A                    	                     	                      	F                     	                        	R                    	A                    	                       	                         	F                      	R                 	F                    	R                    	R                         	                     	                           	                                	                        	                   	                     	A                	R                      	                     	       

