Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Coccolithus pelagicus,Pontosphaera spp.,Gephyrocapsa muellerae,Reticulofenestra minuta,Gephyrocapsa oceanica,Calcidiscus leptoporus,Reticulofenestra pseudoumbilica,Emiliania huxleyi,Braarudosphaera bigelowii,Syracosphaera spp.(small),Coccoliths spp.,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  1,H, 1,  20.00,      0.2000,Su       ,Nannofossils                                 ,C              ,G                 ,5.0%                     ,                         ,2.0%                 ,                 ,12.9%                 ,                       ,7.0%                 ,5.0%                  ,                               ,67.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1025,B,  1,H, 2, 120.00,      2.7000,Su       ,Nannofossils                                 ,F              ,M                 ,17.0%                    ,                         ,56.0%                ,                 ,5.5%                  ,                       ,                     ,                      ,                               ,22.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1025,B,  1,H,CC,  17.00,      4.8700,Su       ,Nannofossils                                 ,R              ,M-G               ,                         ,                         ,42.0%                ,                 ,26.3%                 ,                       ,                     ,                      ,                               ,32.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  2,H, 1,  28.00,      5.2800,Su       ,Nannofossils                                 ,R              ,M                 ,8.0%                     ,                         ,23.0%                ,                 ,38.4%                 ,                       ,                     ,                      ,                               ,31.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  2,H, 3,  85.00,      8.8500,Su       ,Nannofossils                                 ,R              ,M-G               ,3.0%                     ,                         ,33.0%                ,                 ,40.9%                 ,                       ,                     ,                      ,                               ,21.0%            ,2.0%                     ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  2,H, 7,  22.00,     14.2200,Su       ,Nannofossils                                 ,R              ,M                 ,2.0%                     ,                         ,33.0%                ,                 ,44.4%                 ,                       ,                     ,                      ,                               ,20.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
