Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turrilina brevispira	Stilostomella sp. cf. S. fistuca	Stilostomella lepidula	Stilostomella abyssorum	Pullenia bulloides	Pleurostomella brevis	Pleurostomella alternans	Parrelloides sp. cf. P. soendaensis	Parafissurina pseudomarginata	Parafissurina lateralis	Oridorsalis umbonatus	Oridorsalis pauciapertura	Nuttallides umbonifera	Melonis pacificus	Lagena acuticosta	Gyroidinoides lamarckianus	Gyroidina soldanii	Globulina flexa	Globocassidulina subglobosa	Fissurina marginata	Fissurina kerguelenensis	Fissurina fimbriata var.	Evolvocassidulina brevis	Eggerella bradyi	Dentalina spp.	Cibicidoides eocaenus	Cassidulina havanensis	Cassidulina carapitana	Burseolina sp. A	Bulimina trinitatensis	Bulimina palmerae	Bulimina glomarchallengeri	Brizalina capitata	Bolivina rhomboidalis	Astrononion stelligerum	Ammobaculites sp.	Uvigerina peregrina	Uvigerina hispidocostata	Tosaia hanzawai	Textularia sp.	Stilostomella sp.	Sphaeroidina compacta	Siphotextularia sp.	Quadratobuliminella pyramidalis	Pullenia quinqueloba	Pleurostomella subnodosa	Parrelloides bradyi	Parafissurina uncifera	Parafissurina arctica	Oridorsalis tener	Nonion planatum	Nodosaria pyrula	Lagena parri	Gyroidina orbicularis	Gyroidina altiformis	Globocassidulina subtumida	Glandulina laevigata	Fissurina fimbriata	Fissurina auriculata	Cibicidoides laurisae	Cibicides sp.	Cassidulina norvangi	Burseolina marshallana	Brizalina sp.	Anomalinoides glabrata	Amphicoryna hirsuta	Robulus sp.	Oolina sp.	Oolina globosa	Melonis sphaeroides	Lagena striata	Globocassidulina moluccensis	Fissurina orbignyana	Discorbinella biconcavus	Cibicidoides mediocris	Bulimina whitei	Bulimina rostrata	Brizalina seminuda	Astacolus sp.	Amphistegina sp.	Stilostomella consobrina	Pleurostomella rapa	Osangularia culter	Nodosaria sp.	Lagena williamsoni	Lagena advena	Gyroidina sp. cf. G. orbicularis	Globocassidulina sp. cf. G. decorata	Globocassidulina sp.	Favocassidulina favus	Ehrenbergina hystrix	Uvigerina proboscidea	Trifarina bradyi	Rectobolivina raphana	Pleurostomella sp. A	Planulina ariminensis	Paracassidulina quasicarinata	Lagena gracilis	Gyroidinoides nipponicus	Gyroidina broeckhiana	Globocassidulina parva	Globocassidulina paratortuosa	Globocassidulina ornata	Globocassidulina mucronata	Globocassidulina elegans	Globocassidulina brocha	Elphidium advena	Ehrenbergina marwicki	Cribrorbulina serpens	Cibicides wuellerstorfi	Cibicides refulgens	Cibicides lobatulus	Cibicides aknerianus	Cassidulina? perumbonata	Cassidulina carinata	Bolivina robusta	Rutherfordoides cornuta	Quinqueloculina sp.	Pyrgo lucernula	Parafrondicularia helenae	Parafissurina sp.	Paracassidulina sulcata	Laticarinina pauperata	Lagena sp.	Lagena laevis	Hanzawaia sp.	Globocassidulina sp. cf. G. crassa	Fissurina clathrata	Ehrenbergina trigona	Discorbis mira	Discorbinella bertheloti	Brizalina decussata	Amphicoryna sublineata	Valvulineria sp. C	Uvigerina porrecta	Triloculina trigonula	Stilostomella sp. cf. S. lepidula	Sphaeroidina sp.	Robulus gibbus	Paracassidulina sp. cf. P. sulcata	Paracassidulina neocarinata	Orthomorphina challengeriana	Oolina apiopleura	Lagena sulcata spicata	Lagena sulcata laevicostata	Lagena plumigera	Globocassidulina oribunda	Globocassidulina crassa	Fissurina sp.	Ehrenbergina bicornis	Cibicides robertsonianus	Bulimina sp.	Bolivina earlandi	Amphicoryna scalaris	Abditodentrix asketocomptella	Rosalina floridana	Quinqueloculina seminulum	Pyrgo murrhina	Pullenia sp.	Pseudopolymorphina ligua	Lagena gracillima	Gavelinopsis praegeri	Fissurina lucida	Ehrenbergina pacifica	Cibicidoides sp.	Brizalina vescistriata	Astacolus crepidulus	Anomalinoides semicribratus	Trifarina angulosa	Pseudoparrella  exigua	Nuttallides sp	Nonionella sp.	Melonis barleeanus	Lagena stratopunctata	Eponides tumidulus	Brizalina macella	Anomalinoides globulosus	Uvigerina hispida	Sphaeroidina bulloides	Sigmoilopsis schlumbergeri	Quinqueloculina vulgaris	Oridorsalis sp. cf. O. tener	Lagena paradoxa	Lagena hispidula	Hoeglundina elegans	Fursenkoina complanata	Fissurina sp. cf. F. formosa favosa	Fissurina orbignyana var.	Fijiella simplex	Evolvocassidulina cf. brevis	Ceratobolivina pacifica	Burseolina pacifica	Brizalina pseudobeyrichi	Bolivinita quadrilatera	Valvulineria gunjii	Rutherfordoides tenuis	Pseudononion sp.	Laticarinina altocamerata	Globocassidulina oriangulata	Globobulimina pupoides	Globobulimina pacifica	Globobulimina auriculata	Bulimina ampliaperture	Bolivinita compressa	Pullenia sp. cf. P. quinqueloba	Pseudoparrella sp. cf. P. exigua	Melonis sp.	Globocassidulina parviapertura	Bulimina striata	Bulimina marginata	Bulimina aculeata	Bronnimannia hiliotis	Allomorphina pacifica	Virgulina pauciloculata	Trifarina occidentalis	Reusella spp.	Pullenia salisburyi	Pseudoeponides sp.	Patellinella jugosa	Lagena substriata	Gyroidinoides sp. cf. G.nipponicus	Fissurina sp.	Fissurina radiata striatula	Chilostomella oolina	Brizalina pygmaea	Brizalina hantkeniana	Brizalina alata	Bolivina subangularis	Anomalinoides sp. cf. A. glabrata	Uvigerina interrupta	Stainforthia exilis	Rutherfordoides sp. 	Rectobolivina columellaris	Oolina melo	Lagena nebulosa	Fissurina danica	Chilostomella ovoidea	Brizalina plicatella	Bolivina subspinescens	Bolivina sp. cf. B. earlandi	Ammonia beccarii	Rutherfordoides sp. cf. R. tenuis	Robertina oceanica	Miliolinella circularis	Discorbinella subbertheloti	Brizalina karreriana	Bolivina subangularis leneata	Anomalinoides sp.	Trochammina pacifica	Trochammina discorbis	Rhizammina algaeformis	Rhabdammina abyssorum	Reophax sp.	Recurvoides sp.	Pseudononion auricula	Hormosina globulifera	Cystammina pauciloculata	Bathysiphon sp. 	Astrononion novozealandicum	Comment



  SR	                 	                 	                  	              	134	 828	A	  1	H	 1	  50.00	      0.5000	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	2                 	                     	                        	                                   	                             	                       	                     	                         	1                     	                 	                 	2                         	                  	               	                           	1                  	1                       	                        	                        	1               	              	                     	                      	                      	                	                      	                 	                          	                  	                     	                       	                 	                   	                        	1              	              	                 	                     	                   	                               	1                   	                        	                   	                      	                     	15               	               	                	            	1                    	1                   	                          	                    	                   	                    	                     	             	                    	                      	1            	                      	                   	           	          	              	                   	              	6                           	                    	                        	1                     	               	                 	                  	             	                	                        	                   	                  	             	                  	             	                                	                                    	                    	1                    	                    	                     	                	                     	                    	                     	                             	               	5                       	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	1                   	                	                       	                   	               	                         	1                	                       	                      	          	             	             	                                  	                   	1                   	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	                           	                            	                 	                      	                           	                	                         	                       	1            	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	2                    	                	                     	                	                      	                    	                           	                  	1                     	              	              	                  	                     	                  	                 	                        	                 	1                     	                          	                        	                            	               	                	                   	1                     	                                   	                         	                	                            	                       	                   	                        	3                      	                   	                      	1               	                         	                            	                      	                      	1                       	1                     	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	1                    	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	3                   	2                            	                 	1                   	1                    	2                     	6                    	1          	4              	1                    	2                    	3                       	6               	3                          	Misc. agglut. forams = 3; Misc calc. forams =  1; Total agglut. forams =  30; Total calc. forams = 62; Total benthic forams =  92; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  2	H	 1	  50.00	      4.9000	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	1                 	                     	                        	                                   	                             	                       	                     	                         	                      	3                	                 	                          	                  	               	                           	                   	                        	                        	                        	                	              	                     	                      	                      	                	                      	                 	                          	                  	                     	                       	                 	                   	                        	               	              	                 	                     	                   	                               	                    	                        	                   	                      	                     	                 	               	                	            	                     	1                   	                          	                    	                   	                    	                     	             	                    	                      	             	                      	1                  	           	          	              	                   	              	                            	                    	                        	1                     	               	                 	                  	             	                	                        	                   	                  	             	                  	             	                                	                                    	                    	                     	                    	                     	                	                     	                    	                     	                             	               	                        	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	1                   	1               	2                      	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	2             	                                  	3                          	                            	1                	                      	1                          	                	                         	                       	             	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	1                    	                	                     	                	                      	                    	                           	                  	1                     	              	              	                  	                     	                  	                 	                        	                 	1                     	                          	                        	                            	               	                	                   	7                     	                                   	                         	                	                            	                       	                   	                        	1                      	14                 	2                     	                	                         	                            	3                     	8                     	                        	                      	                    	                               	                                	           	                              	                	1                 	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	1                    	1              	                     	                                 	                    	                   	                    	                          	           	               	                	5                    	                    	                      	                            	                	1                                	2                 	1                      	1                          	1                   	1                            	1                	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  0; Total agglut. forams =  63; Total calc. forams = 63; Total benthic forams =  92; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  3	H	 1	  50.00	     14.4000	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	1                 	                     	                        	                                   	                             	1                      	                     	                         	6                     	7                	                 	1                         	                  	               	3                          	2                  	                        	                        	13                      	                	              	                     	                      	                      	                	                      	                 	                          	                  	                     	13                     	                 	                   	8                       	2              	1             	                 	                     	                   	                               	2                   	                        	1                  	                      	                     	3                	               	                	            	1                    	1                   	                          	                    	                   	                    	                     	             	40                  	                      	2            	                      	                   	           	          	1             	                   	              	3                           	                    	                        	1                     	               	                 	3                 	             	                	                        	                   	                  	             	                  	             	                                	                                    	                    	1                    	                    	2                    	                	                     	                    	                     	                             	2              	10                      	                     	7                     	                             	                       	                          	                        	5                      	                	                     	                     	2                      	1                  	3                  	                    	                        	2                   	4               	6                      	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	2                    	                                 	                	              	3                                 	3                          	                            	                 	                      	                           	                	                         	4                      	1            	                     	                        	            	                 	                    	                             	                  	                         	2             	            	                        	                 	2                    	                	                     	                	                      	                    	                           	                  	9                     	              	              	2                 	                     	                  	                 	2                       	                 	8                     	1                         	                        	                            	               	2               	                   	1                     	                                   	                         	                	                            	                       	                   	                        	2                      	51                 	2                     	                	                         	                            	6                     	6                     	                        	2                     	                    	                               	                                	1          	5                             	                	7                 	2                	                     	1                    	1                      	                      	             	                   	                  	                   	2                	1                                 	             	                           	8                   	3                	6                    	13             	                     	                                 	1                   	1                  	1                   	1                         	1          	1              	1               	7                    	2                   	1                     	1                           	2               	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  5; Total agglut. forams =  5; Total calc. forams = 348; Total benthic forams =  349; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  4	H	 1	  50.00	     23.9000	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	1                 	                     	                        	                                   	1                            	                       	                     	                         	                      	3                	                 	                          	                  	               	3                          	1                  	1                       	                        	                        	                	              	                     	                      	                      	                	                      	                 	                          	                  	                     	3                      	                 	                   	5                       	1              	              	                 	                     	                   	                               	1                   	                        	                   	                      	                     	5                	               	                	            	                     	                    	                          	                    	                   	                    	                     	1            	3                   	                      	             	                      	                   	           	          	              	1                  	              	1                           	                    	                        	                      	               	                 	                  	             	                	                        	                   	                  	             	                  	             	                                	1                                   	6                   	2                    	                    	                     	                	                     	                    	                     	                             	1              	2                       	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	1                   	                        	2                   	                	                       	                   	               	                         	1                	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	1             	                                  	                           	                            	                 	                      	                           	                	                         	1                      	1            	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	1                    	                	                     	                	                      	                    	                           	                  	2                     	              	              	2                 	                     	                  	                 	2                       	                 	1                     	                          	                        	                            	               	                	                   	2                     	                                   	                         	                	                            	2                      	                   	                        	3                      	14                 	                      	                	                         	                            	6                     	2                     	                        	                      	                    	                               	                                	           	1                             	                	6                 	1                	                     	                     	1                      	1                     	1            	1                  	1                 	1                  	2                	1                                 	1            	1                          	5                   	1                	1                    	2              	2                    	1                                	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  0; Total agglut. forams =  0; Total calc. forams = 123; Total benthic forams =  123; from ODP 134 SR Chapter 12 Table 3 backpocket
