Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus crux lockerii (regular)	Dictyocha fibula (regular)	Corbisema apiculata apiculata	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Distephanus crux lockerii (3-sided)	Dictyocha fibula (5-sided)	Caryocha ernestinae	Bachmannocena elliptica miniformis	Distephanus speculum speculum (regular)	Distephanus crux crux	Corbisema triacantha	Caryocha depressa	Bachmannocena circulus apiculata	Dictyocha sp. cf. D. rhombica	Dictyocha varia	Dictyocha sp. 4	Dictyocha fibula (3-sided)	Distephanus speculum binoculus	Distephanus crux longispinus	Distephanus crux lockerii (5-sided)	Distephanus speculum speculum f. septenarius	Distephanus crux scutulatus	Distephanus crux longispinus (equant spines)	Distephanus speculum triommata	Naviculopsis constricta	Distephanus crux stradneri	Distephanus speculum hemisphaericus	Caryocha jouseae	Distephanus schulzii	Distephanus speculum pentagonus	Dictyocha subclinata	Distephanus speculum speculum f. pseudofibula	Distephanus speculum minutus	Lyramula furcula	Corbisema inermis inermis	Corbisema hastata hastata	Bachmannocena circulus circulus	Distephanus speculum speculum f. notabilis	Distephanus boliviensis boliviensis	Bachmannocena diodon nodosa	Bachmannocena diodon diodon	Distephanus crux parvus	Bachmannocena triangula	Bachmannocena elliptica elliptica	Bachmannocena diodon triodon	Distephanus quinarius	Dictyocha sp. 3	Distephanus boliviensis binoculus	Bachmannocena dumitricae	Dictyocha sp. 2	Distephanus quinarius (4-sided)	Distephanus quinarius (3 aw)	Distephanus quinarius (2 aw)	Bachmannocena hexalitha	Distephanus quinarius (no aw)	Distephanus boliviensis major	Distephanus speculum speculum (thickened)	Naviculopsis transitoria	Naviculopsis minor	Bachmannocena quadrangula	Distephanus speculum minutus (equant spines)	Comment
  IR	Late Miocene     	                 	B.c.ap./Ba.d.nodosa	              	162	 907	B	 13	H	 5	 120.00	    114.4000	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	107                                    	                     	                    	                 	151                             	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	14                          	                	                         	                         	1                              	                                          	20                                 	4                          	1                          	                       	                       	                                 	                            	                     	               	5                                	                        	               	                               	                            	                            	                       	                             	1                            	                                         	                        	                  	                         	                                            	Total Count is 304. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 14	H	 1	 109.00	    117.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	195                                    	                     	                    	                 	83                              	                             	5              	               	                          	1                             	1                           	                                   	                                            	                           	                                            	                              	                       	19                        	                                   	                	                    	2                              	                    	1                                            	11                          	                	                         	                         	                               	1                                         	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	1                            	1                                        	                        	                  	                         	                                            	Total Count is 321. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 14	H	 2	 109.00	    119.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	46                                     	1                    	                    	                 	94                              	                             	8              	               	                          	6                             	49                          	                                   	                                            	28                         	3                                           	5                             	                       	5                         	                                   	                	                    	2                              	8                   	                                             	4                           	                	                         	                         	12                             	                                          	5                                  	18                         	6                          	                       	                       	2                                	1                           	5                    	               	                                 	1                       	               	                               	                            	                            	1                      	                             	3                            	                                         	                        	                  	                         	                                            	Total Count is 313. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 14	H	 3	 109.00	    120.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	10                                     	6                    	                    	                 	6                               	                             	               	               	                          	                              	4                           	                                   	                                            	4                          	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	1                           	                	                         	                         	1                              	                                          	1                                  	                           	                           	                       	                       	                                 	                            	294                  	               	                                 	                        	               	                               	                            	3                           	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 330. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 14	H	 4	 109.00	    122.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	80                                     	                     	                    	                 	88                              	                             	               	               	                          	1                             	30                          	                                   	                                            	18                         	3                                           	                              	                       	14                        	                                   	                	                    	                               	14                  	                                             	10                          	                	                         	                         	5                              	                                          	                                   	1                          	                           	2                      	                       	                                 	1                           	35                   	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 302. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 14	H	 5	 109.00	    123.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	30                                     	2                    	                    	2                	14                              	                             	9              	               	                          	                              	26                          	                                   	                                            	1                          	1                                           	                              	                       	16                        	                                   	                	                    	1                              	34                  	                                             	24                          	                	                         	                         	                               	                                          	4                                  	4                          	                           	                       	                       	                                 	                            	137                  	               	1                                	                        	               	                               	                            	2                           	                       	2                            	2                            	                                         	                        	                  	                         	                                            	Total Count is 312. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 14	H	 6	 109.00	    125.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	25                                     	                     	                    	                 	24                              	                             	1              	               	                          	4                             	13                          	                                   	                                            	23                         	2                                           	3                             	                       	32                        	1                                  	                	                    	                               	8                   	                                             	11                          	                	                         	                         	9                              	                                          	3                                  	10                         	                           	4                      	                       	                                 	                            	131                  	               	3                                	                        	               	1                              	1                           	2                           	1                      	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 312. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 15	H	 1	 109.00	    127.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	9                                      	1                    	                    	                 	36                              	                             	2              	               	                          	                              	6                           	                                   	1                                           	                           	2                                           	                              	                       	                          	                                   	                	                    	                               	                    	                                             	92                          	                	                         	                         	11                             	                                          	                                   	2                          	15                         	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 177. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 15	H	 2	 109.00	    128.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	64                                     	3                    	1                   	2                	58                              	                             	8              	               	                          	3                             	29                          	                                   	                                            	23                         	                                            	2                             	                       	28                        	                                   	                	                    	                               	8                   	                                             	49                          	                	                         	                         	7                              	                                          	3                                  	7                          	4                          	10                     	                       	                                 	                            	3                    	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 312. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 15	H	 3	 109.00	    130.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	42                                     	                     	                    	2                	40                              	                             	               	               	                          	1                             	3                           	                                   	1                                           	                           	                                            	                              	                       	11                        	                                   	                	                    	                               	                    	                                             	1                           	                	                         	                         	                               	                                          	                                   	197                        	                           	                       	                       	                                 	5                           	                     	1              	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 304. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 15	H	 4	 109.00	    131.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	46                                     	                     	                    	1                	2                               	                             	               	               	                          	1                             	                            	                                   	                                            	1                          	                                            	                              	                       	                          	                                   	                	                    	1                              	                    	                                             	7                           	                	                         	                         	1                              	                                          	8                                  	209                        	19                         	                       	                       	                                 	1                           	3                    	               	                                 	                        	8              	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 308. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 15	H	 5	 109.00	    133.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	64                                     	13                   	                    	1                	16                              	                             	1              	               	                          	                              	37                          	                                   	2                                           	7                          	6                                           	                              	                       	                          	                                   	                	                    	3                              	8                   	                                             	1                           	                	                         	                         	2                              	                                          	1                                  	83                         	60                         	                       	                       	                                 	                            	                     	2              	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 307. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 15	H	 6	 109.00	    134.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	10                                     	                     	                    	                 	3                               	                             	1              	               	                          	                              	3                           	                                   	                                            	4                          	                                            	                              	                       	2                         	                                   	                	                    	                               	1                   	                                             	                            	                	                         	                         	3                              	                                          	                                   	57                         	22                         	                       	                       	                                 	                            	                     	               	                                 	                        	1              	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 107. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 16	H	 1	 109.00	    136.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	20                                     	2                    	                    	                 	51                              	                             	1              	               	                          	                              	5                           	                                   	2                                           	3                          	                                            	                              	                       	5                         	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	4                              	                                          	4                                  	                           	                           	1                      	                       	                                 	                            	                     	               	1                                	2                       	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 101. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 16	H	 2	 109.00	    138.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	19                                     	                     	                    	                 	156                             	                             	3              	               	                          	1                             	6                           	                                   	                                            	                           	                                            	2                             	                       	                          	                                   	                	                    	                               	                    	                                             	3                           	                	                         	                         	                               	                                          	                                   	16                         	                           	                       	                       	1                                	                            	                     	1              	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 208. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 16	H	 3	 109.00	    139.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	11                                     	                     	                    	                 	                                	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	r1              	                         	                         	                               	                                          	2                                  	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 14. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 16	H	 5	 109.00	    141.7100	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	26                                     	12                   	                    	                 	1                               	                             	4              	               	                          	2                             	19                          	                                   	                                            	12                         	3                                           	2                             	                       	                          	                                   	                	                    	                               	13                  	                                             	5                           	                	                         	                         	                               	                                          	                                   	                           	                           	1                      	                       	                                 	                            	2                    	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 102. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 16	H	 6	 109.00	    143.2100	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	181                                    	11                   	                    	                 	1                               	                             	6              	               	                          	12                            	10                          	                                   	3                                           	                           	                                            	1                             	                       	                          	4                                  	                	                    	12                             	                    	                                             	45                          	                	                         	                         	                               	2                                         	7                                  	4                          	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 299. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 17	H	 1	 109.00	    146.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	2                  	                                  	46                                     	2                    	                    	3                	1                               	                             	5              	               	                          	6                             	31                          	                                   	                                            	11                         	11                                          	1                             	                       	                          	                                   	                	                    	1                              	2                   	                                             	3                           	                	                         	                         	74                             	                                          	7                                  	50                         	35                         	1                      	1                      	3                                	7                           	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 303. from Leg 162SR Ch 5 Table 2.

  IR	Late Miocene     	                 	B.c.ap./D.c.stradn.	              	162	 907	B	 17	H	 2	 109.00	    147.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	9                                      	10                   	                    	                 	14                              	                             	6              	               	                          	                              	252                         	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	5                   	                                             	2                           	                	                         	                         	                               	                                          	1                                  	9                          	1                          	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 309. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 17	H	 3	 109.00	    149.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	1                         	                             	                               	                                 	                                   	                          	                   	                                  	11                                     	7                    	1                   	                 	                                	                             	6              	               	                          	1                             	39                          	                                   	                                            	                           	                                            	3                             	                       	                          	5                                  	                	                    	1                              	                    	                                             	4                           	                	                         	                         	                               	1                                         	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 80. from Leg 162SR Ch 5 Table 2.

