Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus crux lockerii (regular)	Dictyocha fibula (regular)	Corbisema apiculata apiculata	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Distephanus crux lockerii (3-sided)	Dictyocha fibula (5-sided)	Caryocha ernestinae	Bachmannocena elliptica miniformis	Distephanus speculum speculum (regular)	Distephanus crux crux	Corbisema triacantha	Caryocha depressa	Bachmannocena circulus apiculata	Dictyocha sp. cf. D. rhombica	Dictyocha varia	Dictyocha sp. 4	Dictyocha fibula (3-sided)	Distephanus speculum binoculus	Distephanus crux longispinus	Distephanus crux lockerii (5-sided)	Distephanus speculum speculum f. septenarius	Distephanus crux scutulatus	Distephanus crux longispinus (equant spines)	Distephanus speculum triommata	Naviculopsis constricta	Distephanus crux stradneri	Distephanus speculum hemisphaericus	Caryocha jouseae	Distephanus schulzii	Distephanus speculum pentagonus	Dictyocha subclinata	Distephanus speculum speculum f. pseudofibula	Distephanus speculum minutus	Lyramula furcula	Corbisema inermis inermis	Corbisema hastata hastata	Bachmannocena circulus circulus	Distephanus speculum speculum f. notabilis	Distephanus boliviensis boliviensis	Bachmannocena diodon nodosa	Bachmannocena diodon diodon	Distephanus crux parvus	Bachmannocena triangula	Bachmannocena elliptica elliptica	Bachmannocena diodon triodon	Distephanus quinarius	Dictyocha sp. 3	Distephanus boliviensis binoculus	Bachmannocena dumitricae	Dictyocha sp. 2	Distephanus quinarius (4-sided)	Distephanus quinarius (3 aw)	Distephanus quinarius (2 aw)	Bachmannocena hexalitha	Distephanus quinarius (no aw)	Distephanus boliviensis major	Distephanus speculum speculum (thickened)	Naviculopsis transitoria	Naviculopsis minor	Bachmannocena quadrangula	Distephanus speculum minutus (equant spines)	Comment
  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 17	H	 4	 109.00	    150.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	1                                      	                     	1                   	                 	                                	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 2. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 17	H	 5	 109.00	    152.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	3                                      	                     	                    	                 	8                               	                             	               	               	                          	                              	1                           	                                   	                                            	                           	                                            	                              	                       	1                         	                                   	                	                    	                               	                    	                                             	                            	r2              	r1                       	r1                       	1                              	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 18. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 17	H	 6	 109.00	    153.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	1                         	                             	                               	                                 	                                   	                          	                   	                                  	22                                     	                     	2                   	                 	88                              	                             	2              	               	                          	1                             	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	2                              	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 118. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 18	H	 1	 109.00	    155.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	19                                     	1                    	                    	                 	6                               	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	1                         	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 27. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 18	H	 2	 109.00	    157.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	45                                     	                     	3                   	                 	                                	                             	5              	               	                          	2                             	244                         	                                   	                                            	                           	                                            	                              	                       	                          	2                                  	                	                    	                               	3                   	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 304. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 18	H	 3	 109.00	    158.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	                          	                             	                               	                                 	                                   	                          	                   	                                  	36                                     	                     	                    	                 	1                               	                             	               	               	                          	4                             	15                          	                                   	                                            	13                         	                                            	1                             	                       	10                        	                                   	                	                    	                               	                    	1                                            	2                           	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 83. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 18	H	 4	 109.00	    160.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	                          	                             	                               	                                 	                                   	                          	68                 	                                  	14                                     	2                    	                    	9                	125                             	                             	2              	               	                          	1                             	4                           	                                   	                                            	                           	                                            	                              	                       	                          	1                                  	1               	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 227. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 18	H	 5	 109.00	    161.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	1                         	                             	                               	                                 	                                   	                          	                   	                                  	16                                     	4                    	                    	                 	28                              	                             	2              	               	                          	                              	85                          	                                   	                                            	50                         	                                            	                              	                       	20                        	                                   	                	                    	                               	3                   	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 209. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 18	H	 6	 109.00	    163.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	18                                 	                          	                             	                               	                                 	                                   	                          	                   	                                  	91                                     	11                   	                    	                 	49                              	                             	6              	               	                          	                              	63                          	                                   	1                                           	                           	                                            	                              	                       	                          	                                   	                	                    	2                              	5                   	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 246. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 19	H	 1	 109.00	    165.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	                          	                             	                               	                                 	                                   	                          	117                	                                  	13                                     	                     	                    	14               	75                              	                             	6              	               	                          	                              	1                           	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	2                   	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 228. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 19	H	 2	 109.00	    166.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	                          	                             	                               	                                 	                                   	                          	50                 	                                  	23                                     	3                    	                    	31               	78                              	                             	11             	               	                          	                              	6                           	                                   	                                            	                           	                                            	                              	                       	                          	5                                  	1               	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 208 . from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 19	H	 5	 109.00	    171.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	2                         	                             	                               	                                 	                                   	                          	70                 	                                  	10                                     	                     	                    	                 	141                             	                             	               	               	                          	                              	9                           	                                   	                                            	3                          	1                                           	                              	r1                     	12                        	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 249. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 20	H	 1	 109.00	    174.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	2                                  	249                       	                             	                               	                                 	                                   	11                        	6                  	                                  	58                                     	3                    	                    	                 	4                               	                             	               	               	3                         	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 336. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 20	H	 2	 109.00	    176.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	                                   	180                       	                             	                               	                                 	                                   	23                        	7                  	                                  	78                                     	2                    	                    	                 	1                               	                             	               	               	1                         	2                             	                            	                                   	                                            	                           	7                                           	1                             	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 302. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 20	H	 3	 109.00	    177.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	3                                  	146                       	                             	                               	                                 	                                   	6                         	11                 	                                  	102                                    	                     	                    	1                	7                               	                             	2              	               	                          	1                             	                            	                                   	                                            	2                          	27                                          	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 308. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 20	H	 4	 109.00	    179.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	A              	                  	89                                 	42                        	                             	                               	                                 	                                   	1                         	7                  	                                  	130                                    	25                   	                    	                 	4                               	                             	16             	               	1                         	4                             	                            	2                                  	2                                           	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 323. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 20	H	 5	 109.00	    180.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	59                                 	10                        	                             	                               	                                 	1                                  	                          	7                  	                                  	4                                      	                     	                    	                 	3                               	                             	               	               	2                         	                              	                            	1                                  	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 87. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 20	H	 6	 109.00	    182.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	51                                 	6                         	                             	                               	                                 	                                   	1                         	31                 	                                  	6                                      	1                    	2                   	                 	2                               	                             	               	               	                          	1                             	6                           	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 107. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 21	H	 1	 106.00	    184.2600	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	10                                 	2                         	                             	                               	                                 	                                   	                          	5                  	                                  	4                                      	3                    	                    	                 	                                	                             	3              	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 27. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 21	H	 2	 106.00	    185.7600	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	30                                 	8                         	                             	                               	                                 	                                   	1                         	13                 	                                  	1                                      	                     	                    	                 	4                               	                             	3              	1              	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 61 . from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 21	H	 3	 106.00	    187.2600	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	4                                  	3                         	                             	                               	                                 	                                   	                          	22                 	                                  	2                                      	                     	                    	                 	1                               	                             	               	               	1                         	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 33. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 21	H	 4	 106.00	    188.7600	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	16                                 	7                         	                             	                               	                                 	                                   	1                         	89                 	                                  	1                                      	3                    	                    	                 	1                               	                             	               	2              	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 120. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 21	H	 5	 106.00	    190.2600	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	                                   	                          	                             	2                              	2                                	                                   	                          	3                  	                                  	                                       	                     	                    	                 	7                               	                             	11             	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 25. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 21	H	 6	 109.00	    191.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	C              	                  	                                   	1                         	                             	1                              	                                 	                                   	                          	7                  	                                  	1                                      	1                    	                    	                 	                                	146                          	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 157. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	B. c. ap./Cary. spp	              	162	 907	B	 22	H	 1	 109.00	    193.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	                                   	1                         	                             	29                             	8                                	                                   	                          	1                  	                                  	4                                      	3                    	1                   	3                	17                              	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 67. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	upper C. triacantha	              	162	 907	B	 22	H	 2	 109.00	    195.2900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	R              	                  	53                                 	5                         	                             	18                             	11                               	1                                  	2                         	2                  	1                                 	                                       	                     	                    	                 	                                	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 93. from Leg 162SR Ch 5 Table 2.

  IR	Middle Miocene   	                 	upper C. triacantha	              	162	 907	B	 22	H	 3	 109.00	    196.7900	Amigo    	Silicoflagellates/Ebridians/Actiniscidians   	VR             	                  	4                                  	3                         	r1                           	3                              	1                                	                                   	                          	                   	                                  	                                       	                     	                    	                 	                                	                             	               	               	                          	                              	                            	                                   	                                            	                           	                                            	                              	                       	                          	                                   	                	                    	                               	                    	                                             	                            	                	                         	                         	                               	                                          	                                   	                           	                           	                       	                       	                                 	                            	                     	               	                                 	                        	               	                               	                            	                            	                       	                             	                             	                                         	                        	                  	                         	                                            	Total Count is 12. from Leg 162SR Ch 5 Table 2.

