Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zoophycos (unspecified taxon or taxa),Thalassinoides (unspecified taxon or taxa),Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B,  8,R, 2,   0.00,    284.0000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 10,R, 1,   0.00,    301.8000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 10,R, 4,   0.00,    306.3000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 11,R, 1,   0.00,    311.5000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 11,R, 2,   0.00,    313.0000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 12,R, 1,   0.00,    321.1000,Droser   ,Trace Fossils                                ,               ,                  ,+                                    ,                                          ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 12,R, 2,   0.00,    322.6000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 12,R, 4,   0.00,    325.6000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 12,R, 6,   0.00,    328.6000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,B, 14,R, 4,   0.00,    344.9000,Droser   ,Trace Fossils                                ,               ,                  ,                                     ,+                                         ,based on observation of entire section. from ODP 119 SR Chapter 33 Table 1 page 638.
,,,,,,,,,,,,,,,,,,,
