Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalita humilis	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis (dextral)	Globorotalia scitula	Globorotalia puncticulata	Globorotalia pseudopima	Globorotalia miocenica	Globorotalia exilis	Globorotalia crassaformis	Globorotalia cf. Gr. pertenuis	Globorotalia cf. Gr. hirsuta	Globigerinoides trilobus	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella cf. G. obesa	Globigerinella aequilateralis	Globigerina woodi	Globigerina rubescens	Globigerina quinqueloba	Globigerina falconensis	Globigerina decoraperta	Globigerina cf. Gg. bulloides	Globigerina calida praecalida	Globigerina calida cf. calida	Neogloboquadrina cf. Nq. acostaensis	Globorotalia cf. Gr. miocenica	Globigerinoides sacculifer	Globigerina eamsi	Globigerina bulloides	Beella cf. B. digitata	Globorotaloides hexagona	Globorotalia crassula	Globoquadrina altispira	Dentoglobigerina altispira	Globigerinita uvula	Globigerina apertura	Neogloboquadrina acostaensis (sinistral)	Globigerinella obesa	Globorotalia pertenuis	Globigerinoides bollii	Globorotalia plesiotumida (sinistral)	Globorotalia hessi	Globorotalia triangula	Globorotalia tosaensis	Orbulina bilobata	Globorotalia truncatulinoides	Pulleniatina obliquiloculata obliquiloculata	Sphaeroidinella dehiscens	Orbulina suturalis	Globorotalia inflata	Globigerina druryi	Globorotalia crassaformis viola	Globorotalia tumida	Globigerinoides tenellus	Beella digitata	Globigerinoides pyramidalis	Globigerinoides elongatus	Globorotalia crassaformis hessi	Pulleniatina finalis	Sphaeroidinellopsis seminulina	Globigerinoides ruber (pink)	Globorotalia hirsuta	Globorotalia cultrata	Hastigerina pelagica	Globigerina calida calida	Comment



  SR	Pleistocene      	                 	Pt1b              	              	157	 953	A	  1	H	 1	   0.00	      0.0000	Brunner  	Planktonic Foraminifers                      	A              	G                 	R                    	F                	F                                      	A                                    	                         	                          	                                      	F                   	                         	                       	                      	                   	                         	                              	                            	                        	F                    	                             	                                 	                                 	R                          	A                      	                           	F                            	                 	R                    	F                      	C                      	                       	F                            	R                            	                             	                                    	                              	                          	                 	A                    	                      	                        	                     	                       	                          	                   	                    	                                        	R                   	                      	                      	                                     	                  	                      	                      	                 	F                            	                                            	                         	                  	C                   	                  	                               	R                  	R                       	               	                           	                         	                               	                    	                              	                            	R                   	                     	                    	R                        	from 157SR. Ch 10. Table 1.

  SR	Pleistocene      	                 	Pt1b              	              	157	 953	A	  1	H	 1	 130.00	      1.3000	Brunner  	Planktonic Foraminifers                      	A              	G                 	R                    	F                	F                                      	A                                    	                         	                          	                                      	F                   	                         	                       	                      	                   	                         	                              	                            	                        	F                    	                             	                                 	                                 	R                          	C                      	                           	F                            	                 	R                    	F                      	F                      	                       	F                            	R                            	                             	                                    	                              	                          	                 	A                    	                      	                        	                     	                       	                          	                   	                    	                                        	R                   	                      	                      	                                     	                  	                      	                      	                 	F                            	                                            	                         	                  	C                   	                  	                               	                   	R                       	               	                           	                         	                               	                    	                              	                            	R                   	                     	                    	                         	from 157SR. Ch 10. Table 1.

  SR	Pleistocene      	                 	Pt1b              	              	157	 953	A	  1	H	 3	  31.00	      3.3100	Brunner  	Planktonic Foraminifers                      	A              	G                 	R                    	F                	R                                      	C                                    	                         	                          	                                      	F                   	                         	                       	                      	                   	R                        	                              	                            	                        	C                    	                             	                                 	                                 	R                          	C                      	                           	C                            	                 	R                    	R                      	C                      	                       	F                            	R                            	                             	                                    	                              	                          	                 	C                    	                      	                        	                     	                       	                          	                   	                    	                                        	                    	                      	                      	                                     	                  	                      	                      	                 	F                            	                                            	                         	                  	C                   	                  	                               	R                  	F                       	               	                           	                         	                               	                    	                              	                            	R                   	                     	                    	                         	from 157SR. Ch 10. Table 1.

  SR	Pleistocene      	                 	Pt1b              	              	157	 953	A	  1	H	 4	 125.00	      5.7500	Brunner  	Planktonic Foraminifers                      	A              	G                 	                     	F                	F                                      	A                                    	                         	                          	                                      	F                   	                         	                       	                      	                   	                         	                              	                            	                        	C                    	                             	                                 	                                 	R                          	A                      	                           	C                            	                 	R                    	R                      	A                      	                       	F                            	R                            	                             	                                    	                              	R                         	                 	A                    	                      	                        	                     	                       	                          	                   	                    	                                        	R                   	                      	                      	                                     	                  	                      	                      	                 	F                            	                                            	                         	                  	C                   	                  	                               	R                  	F                       	               	                           	                         	                               	                    	                              	                            	R                   	R                    	                    	                         	from 157SR. Ch 10. Table 1.
