Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,0,5,0,0.05,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,0
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,15,25,0.15,0.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,1
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,35,42.5,0.35,0.425,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,2
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,52.5,62.5,0.525,0.625,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,3
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,82.5,90,0.825,0.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,4
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,100,110,1,1.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,5
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,130,140,1.3,1.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,6
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,0,10,1.5,1.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,7
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,30,40,1.8,1.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,8
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,50,60,2,2.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,9
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,80,90,2.3,2.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,10
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,100,110,2.5,2.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,11
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,130,140,2.8,2.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,12
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,0,10,3,3.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,13
