Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
336-U1382B-1H-1-A,336,U1382,B,1,1-1,H,1,A,0,50,0,0.5,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 5/6 (yellowish brown),,,,,,,,From 23 cm to 25 cm: whiter part (10YR 6/4) which is more foraminifer rich; from 25 cm to 50 cm: some arched laminae due to coring disturbance,,,,,,0
336-U1382B-1H-2-A,336,U1382,B,1,1-2,H,2,A,0,100.5,0.5,1.505,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,Two whiter parts from 34 cm to 36 cm and from 42 cm to 52 cm with a color of 10YR 7/4 and with diffuse boundaries,,,,,,1
336-U1382B-1H-3-A,336,U1382,B,1,1-3,H,3,A,0,76,1.8,2.56,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 5/6 (yellowish brown),sharp,,,,,,,,,,,,,2
336-U1382B-1H-3-A,336,U1382,B,1,1-3,H,3,A,76,80.5,2.56,2.605,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,Transitional zone in lithology at the top,,,,,,3
336-U1382B-1H-4-A,336,U1382,B,1,1-4,H,4,A,0,25,3.3,3.55,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 5/4 (brown),sharp,,,,,,,,,,,,,4
336-U1382B-1H-4-A,336,U1382,B,1,1-4,H,4,A,25,32,3.55,3.62,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,Transitional zone at the top with a foraminifer bearing nannofossil rich ooze,,,,,,5
336-U1382B-1H-4-A,336,U1382,B,1,1-4,H,4,A,32,60,3.62,3.9,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/6 (strong brown),,,,,,,,,,,,,,6
336-U1382B-1H-5-A,336,U1382,B,1,1-5,H,5,A,0,79.5,4.8,5.595,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,From 52 cm to 61 cm: transitional zone in color to a zone from 61 cm to 79.5 cm which has a color of 7.5YR 5/4,,,,,,7
336-U1382B-1H-CC-A,336,U1382,B,1,1-CC,H,CC,A,0,4,6.3,6.34,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,,,,,8
336-U1382B-1H-CC-A,336,U1382,B,1,1-CC,H,CC,A,4,12,6.34,6.42,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,,,,,9
