Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
323-U1339C-1H-1-A,323,U1339,C,1,1-1,H,1,A,0,150,0,1.5,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 3/2,,,,,,,,,,,,,,,,
323-U1339C-1H-2-A,323,U1339,C,1,1-2,H,2,A,0,98,1.5,2.48,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 3/2,,,,,,,,,,,,,,,,
323-U1339C-1H-2-A,323,U1339,C,1,1-2,H,2,A,98,109,2.48,2.59,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,top few millimeters are cream colored,,,,,,,,,,,
323-U1339C-1H-2-A,323,U1339,C,1,1-2,H,2,A,109,150,2.59,3,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 3/2,,,,,,,,,,,,,,,,
323-U1339C-1H-3-A,323,U1339,C,1,1-3,H,3,A,0,41,3,3.41,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 3/2,,,,,,,,,,,,,,,,
323-U1339C-1H-3-A,323,U1339,C,1,1-3,H,3,A,41,45,3.41,3.45,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,,,,,,,,,,,,
323-U1339C-1H-3-A,323,U1339,C,1,1-3,H,3,A,45,50,3.45,3.5,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 3/2,,,,,,,,,,,,,,,,
323-U1339C-1H-3-A,323,U1339,C,1,1-3,H,3,A,50,57,3.5,3.57,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,,,,,,,,,,,,
323-U1339C-1H-3-A,323,U1339,C,1,1-3,H,3,A,57,150,3.57,4.5,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-1H-4-A,323,U1339,C,1,1-4,H,4,A,0,126,4.5,5.76,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-1H-4-A,323,U1339,C,1,1-4,H,4,A,126,129,5.76,5.79,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,,,,,,,,,,,,
323-U1339C-1H-4-A,323,U1339,C,1,1-4,H,4,A,129,150,5.79,6,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-1H-5-A,323,U1339,C,1,1-5,H,5,A,0,150,6,7.5,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-1H-6-A,323,U1339,C,1,1-6,H,6,A,0,150,7.5,9,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-1H-7-A,323,U1339,C,1,1-7,H,7,A,0,54,9,9.54,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-1H-CC-A,323,U1339,C,1,1-CC,H,CC,A,0,14,9.54,9.68,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,higher lithic component,,,,,,,,,,,
323-U1339C-2H-1-A,323,U1339,C,2,2-1,H,1,A,0,150,9.8,11.3,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-2-A,323,U1339,C,2,2-2,H,2,A,0,150,11.3,12.8,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-3-A,323,U1339,C,2,2-3,H,3,A,0,30,12.8,13.1,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-3-A,323,U1339,C,2,2-3,H,3,A,30,60,13.1,13.4,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1339C-2H-3-A,323,U1339,C,2,2-3,H,3,A,60,150,13.4,14.3,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-4-A,323,U1339,C,2,2-4,H,4,A,0,50,14.3,14.8,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-4-A,323,U1339,C,2,2-4,H,4,A,50,90,14.8,15.2,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1339C-2H-4-A,323,U1339,C,2,2-4,H,4,A,90,150,15.2,15.8,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-5-A,323,U1339,C,2,2-5,H,5,A,0,150,15.8,17.3,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,0,30,17.3,17.6,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,30,46,17.6,17.76,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,80,soft,5Y 2.5/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,30,46,17.6,17.76,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,20,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,46,58,17.76,17.88,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,58,77,17.88,18.07,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,77,96,18.07,18.26,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,50,soft,5Y 2.5/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,77,96,18.07,18.26,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-6-A,323,U1339,C,2,2-6,H,6,A,96,150,18.26,18.8,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-7-A,323,U1339,C,2,2-7,H,7,A,0,51,18.8,19.31,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-2H-CC-A,323,U1339,C,2,2-CC,H,CC,A,0,13,19.31,19.44,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1339C-3H-1-A,323,U1339,C,3,3-1,H,1,A,0,150,19.3,20.8,diatom silt,"Shepard, 1954",'',diatom silt,100,,5GY 4/1,,,,,,,,,,,,,,,,
323-U1339C-3H-2-A,323,U1339,C,3,3-2,H,2,A,0,108,20.8,21.88,diatom silt,"Shepard, 1954",'',diatom silt,100,,5GY 4/1,,,,,,,,,,,,,,,,
323-U1339C-3H-2-A,323,U1339,C,3,3-2,H,2,A,108,111,21.88,21.91,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,,3/N ,,,,,,,,,,,,,,,,
323-U1339C-3H-2-A,323,U1339,C,3,3-2,H,2,A,111,146,21.91,22.26,diatom ooze,United States Geological Survey,,diatom ooze,100,,5GY 4/1,,,,,,,,,,,,,,,,
323-U1339C-3H-2-A,323,U1339,C,3,3-2,H,2,A,146,150,22.26,22.3,diatom silt,"Shepard, 1954",'',diatom silt,100,,5Y 4/2,,,,,,,,,,,,,,,,
323-U1339C-3H-3-A,323,U1339,C,3,3-3,H,3,A,0,38,22.3,22.68,diatom silt,"Shepard, 1954",'',diatom silt,100,,5Y 4/2,,,,,,,,,,,,,,,,
323-U1339C-3H-3-A,323,U1339,C,3,3-3,H,3,A,38,129,22.68,23.59,diatom silt,"Shepard, 1954",'',diatom silt,100,,5GY 4/1,,,,,,,,,,,,,,,,
323-U1339C-3H-3-A,323,U1339,C,3,3-3,H,3,A,129,133,23.59,23.63,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,,5Y 2.5/1,,,,,,,,,,,,,,,,
