dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
,344-U1412C-2R-1-A,344,U1412,C,2,2-1,R,1,A,0,114,300,301.14,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,0
,344-U1412C-2R-CC-A,344,U1412,C,2,2-CC,R,CC,A,0,8,301.14,301.22,fall-in,high [drilling disturbance],6,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,1
,344-U1412C-3R-1-A,344,U1412,C,3,3-1,R,1,A,0,150,309.5,311,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,2
,344-U1412C-3R-2-A,344,U1412,C,3,3-2,R,2,A,0,150,311,312.5,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,3
,344-U1412C-3R-3-A,344,U1412,C,3,3-3,R,3,A,0,150,312.5,314,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,4
,344-U1412C-3R-4-A,344,U1412,C,3,3-4,R,4,A,0,115,314,315.15,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,5
,344-U1412C-3R-CC-A,344,U1412,C,3,3-CC,R,CC,A,0,13,315.15,315.28,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,6
,344-U1412C-4R-1-A,344,U1412,C,4,4-1,R,1,A,0,118,319.1,320.28,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",calcareous claystone or tuff [Leg210],pebble [W22_2],spherical,,10YR 4/2 (dark grayish brown),subrounded,4,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,7
,344-U1412C-4R-2-A,344,U1412,C,4,4-2,R,2,A,0,98,320.28,321.26,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,8
,344-U1412C-4R-CC-A,344,U1412,C,4,4-CC,R,CC,A,0,24,321.26,321.5,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,9
,344-U1412C-5R-1-A,344,U1412,C,5,5-1,R,1,A,0,36,328.8,329.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,10
