Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1411A-1H-1-A,342,U1411,A,1,1-1,H,1,A,0,7,0.0,0.07,,clay [Leg339],with foraminifers [Leg339],clay  with foraminifers ,5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with foraminifers ,,,,,,
342-U1411A-1H-1-A,342,U1411,A,1,1-1,H,1,A,7,8,0.07,0.08,,sand [Leg339],with foraminifers [Leg339],sand  with foraminifers ,5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand ,sand   with foraminifers ,,,,,,
342-U1411A-1H-1-A,342,U1411,A,1,1-1,H,1,A,8,101,0.08,1.01,foraminiferal [Leg339],silt [Leg339],with nannofossils [Leg339],foraminiferal  silt  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt   with nannofossils ,,,,,,
342-U1411A-1H-1-A,342,U1411,A,1,1-1,H,1,A,101,132,1.01,1.32,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,10YR 6/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1411A-1H-1-A,342,U1411,A,1,1-1,H,1,A,132,150,1.32,1.5,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,5YR 5/3 (reddish brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1411A-1H-2-A,342,U1411,A,1,1-2,H,2,A,0,7,1.5,1.57,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1411A-1H-2-A,342,U1411,A,1,1-2,H,2,A,7,12,1.57,1.62,,sand [Leg339],with foraminifers [Leg339],sand  with foraminifers ,5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand ,sand   with foraminifers ,,,,,,
342-U1411A-1H-2-A,342,U1411,A,1,1-2,H,2,A,12,33,1.62,1.83,silty [Leg339],clay [Leg339],with foraminifers [Leg339],silty  clay  with foraminifers ,10YR 6/3 (pale brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with foraminifers ,,,,,,
342-U1411A-1H-2-A,342,U1411,A,1,1-2,H,2,A,33,49,1.83,1.99,silty [Leg339],clay [Leg339],with foraminifers [Leg339],silty  clay  with foraminifers ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with foraminifers ,,,,,,
342-U1411A-1H-2-A,342,U1411,A,1,1-2,H,2,A,49,150,1.99,3.0,silty [Leg339],clay [Leg339],with foraminifers [Leg339],silty  clay  with foraminifers ,10YR 6/3 (pale brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with foraminifers ,,,,,,
