Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
363-U1488B-1H-1-A,0,44,0,0.44,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10YR 6/4 (light yellowish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,1,H,1,A,,,,
363-U1488B-1H-CC-A,0,49,0.44,0.93,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,1,H,CC,A,,,,
363-U1488B-2H-1-A,0,62,0.9,1.52,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,62,63,1.52,1.53,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5G 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,63,71,1.53,1.61,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,71,72,1.61,1.62,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5G 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,72,81,1.62,1.71,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,81,85,1.71,1.75,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5G 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,85,144,1.75,2.34,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-1-A,144,150,2.34,2.4,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5G 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,2,H,1,A,,,,
363-U1488B-2H-2-A,0,84,2.4,3.24,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,2,A,,,,
363-U1488B-2H-2-A,84,85,3.24,3.25,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5G 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,2,H,2,A,,,,
363-U1488B-2H-2-A,85,150,3.25,3.9,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,2,A,,,,
363-U1488B-2H-3-A,0,21,3.9,4.11,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,trace diatoms,,,,,,,,,,,,,363,U1488,B,2,H,3,A,,,,
363-U1488B-2H-3-A,21,23,4.11,4.13,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5G 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,B,2,H,3,A,,,,
