Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,"Dominant grain size (Wentworth, 1922)",Clastic grain roundness,Lithification,Lithology comments,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
334-U1381A-2R-CC-A,334,U1381,A,2,2-CC,R,CC,A,0,19,3.5,3.69,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,,,soupy,,,,,,,0
334-U1381A-3R-1-A,334,U1381,A,3,3-1,R,1,A,0,71,12.4,13.11,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,,,,,1
334-U1381A-3R-CC-A,334,U1381,A,3,3-CC,R,CC,A,0,28,13.11,13.39,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,,,,,2
334-U1381A-4R-1-A,334,U1381,A,4,4-1,R,1,A,0,56,22.3,22.86,10Y 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,,,,,3
334-U1381A-4R-CC-A,334,U1381,A,4,4-CC,R,CC,A,0,17,22.86,23.03,10Y 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,,,,,4
334-U1381A-5R-1-A,334,U1381,A,5,5-1,R,1,A,0,150,31.9,33.4,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,,,,,5
334-U1381A-5R-2-A,334,U1381,A,5,5-2,R,2,A,0,18,33.4,33.58,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,,,,,6
334-U1381A-5R-2-A,334,U1381,A,5,5-2,R,2,A,18,20,33.58,33.6,2.5Y 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,consolidated,Yellowish brown tephra.,,,,,,7
334-U1381A-5R-2-A,334,U1381,A,5,5-2,R,2,A,20,150,33.6,34.9,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,,,,,8
334-U1381A-5R-3-A,334,U1381,A,5,5-3,R,3,A,0,114,34.9,36.04,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,,,,,9
334-U1381A-5R-CC-A,334,U1381,A,5,5-CC,R,CC,A,0,5,36.04,36.09,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color with black-dark brown areas.,,,,,,10
334-U1381A-6R-1-A,334,U1381,A,6,6-1,R,1,A,0,36,41.5,41.86,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of grey-green to black. Some patches of dark grass green coloration (31 - 32cm).,,,,,,11
334-U1381A-6R-1-A,334,U1381,A,6,6-1,R,1,A,36,40,41.86,41.9,5YR 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,,,,,12
