Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
317-U1354A-1H-1-A,317,U1354,A,1,1-1,H,1,A,0,100,0,1,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-1H-1-A,317,U1354,A,1,1-1,H,1,A,100,130,1,1.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-1H-2-A,317,U1354,A,1,1-2,H,2,A,0,130,1.5,2.8,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-1H-3-A,317,U1354,A,1,1-3,H,3,A,0,30,3,3.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-1H-3-A,317,U1354,A,1,1-3,H,3,A,30,68,3.3,3.68,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-2H-1-A,317,U1354,A,2,2-1,H,1,A,0,12,3.8,3.92,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,,,,"Shepard, 1954; Wentworth, 1922","moderately sorted f.- m. sand, with abundant shell fragments and a mud clast (3 cm). Lower 3 cm from the bottom include shell bed.",,,,,
317-U1354A-2H-1-A,317,U1354,A,2,2-1,H,1,A,12,13,3.92,3.93,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","f. sandy mud (clayey), with small shell fragments (<1 mm). ",,,,,
317-U1354A-2H-1-A,317,U1354,A,2,2-1,H,1,A,13,25,3.93,4.05,,Shell hash,,Shell hash,,,,,Leg 150,"muddy shell hash, including Tawera Stirocolpus and others.  ",,,,,
317-U1354A-2H-1-A,317,U1354,A,2,2-1,H,1,A,25,130,4.05,5.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","micaceous homogeneous mud (clayey), with rare shells and shell fragments. Burrow of dark spot (<2mm), v.f. sandy mud-filled 8mm and 40mm)",,,,,
317-U1354A-2H-2-A,317,U1354,A,2,2-2,H,2,A,0,10,5.3,5.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","micaceous homogeneous mud (clayey), with rare shells and shell fragments. Burrow of dark spot (<2mm), v.f. sandy mud-filled 8mm and 40mm)",,,,,
