Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,File Data,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431D-2H-1-A,59.0,64.0,3.79,3.84,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,planar,horizontal,thin bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,1,A
349-U1431D-2H-1-A,64.0,80.0,3.84,4.0,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,erosive,curved,medium bed,lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,1,A
349-U1431D-2H-1-A,80.0,130.0,4.0,4.5,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,1,A
349-U1431D-2H-1-A,130.0,150.0,4.5,4.7,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,,,medium bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,1,A
349-U1431D-2H-2-A,0.0,57.0,4.7,5.27,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,2,A
349-U1431D-2H-2-A,57.0,70.0,5.27,5.4,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,planar,horizontal,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,2,A
349-U1431D-2H-2-A,70.0,100.0,5.4,5.7,,foraminiferal ooze,with clay,foraminiferal ooze ,foraminiferal ooze with clay ,,2.5Y 5/3 (light olive brown),very slightly consolidated,silt,2,medium sand,5,moderate,,,,,,,,,,,,,,erosive,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,2,A
349-U1431D-2H-2-A,100.0,112.0,5.7,5.82,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,planar,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,2,A
349-U1431D-2H-2-A,112.0,115.0,5.82,5.85,,foraminiferal ooze,with clay,foraminiferal ooze ,foraminiferal ooze with clay ,,2.5Y 5/3 (light olive brown),very slightly consolidated,silt,2,fine sand,4,moderate,,,,,,,,,,,,,,planar,horizontal,thin bed,lamination,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,2,A
349-U1431D-2H-2-A,115.0,150.0,5.85,6.2,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,,,thick bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,2,A
