Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,File Data,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431D-9H-1-A,91.0,97.0,70.61,70.67,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,1,A
349-U1431D-9H-1-A,97.0,101.0,70.67,70.71,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,1,A
349-U1431D-9H-1-A,101.0,124.0,70.71,70.94,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,1,A
349-U1431D-9H-1-A,124.0,130.0,70.94,71.0,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,1,A
349-U1431D-9H-1-A,130.0,150.0,71.0,71.2,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,,,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,1,A
349-U1431D-9H-2-A,0.0,17.0,71.2,71.37,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,17.0,33.0,71.37,71.53,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,33.0,59.0,71.53,71.79,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,59.0,79.0,71.79,71.99,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,79.0,92.0,71.99,72.12,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,92.0,116.0,72.12,72.36,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,116.0,124.0,72.36,72.44,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,124.0,142.0,72.44,72.62,,clay,with volcanic ash,clay ,clay with volcanic ash ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,P,1,,,,,,,,100,,,,,,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,142.0,146.0,72.62,72.66,,clay,with silt,clay ,clay with silt ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,horizontal,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-2-A,146.0,150.0,72.66,72.7,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,silt,2,moderate,p,1,,,,,,,,,,,,,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,2,A
349-U1431D-9H-3-A,0.0,3.0,72.7,72.73,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,3.0,12.0,72.73,72.82,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,12.0,23.0,72.82,72.93,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,23.0,27.0,72.93,72.97,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,27.0,50.0,72.97,73.2,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,50.0,71.0,73.2,73.41,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,71.0,88.0,73.41,73.58,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,88.0,94.0,73.58,73.64,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,94.0,112.0,73.64,73.82,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-3-A,112.0,140.0,73.82,74.1,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,,,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,3,A
349-U1431D-9H-4-A,0.0,19.0,74.2,74.39,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-4-A,19.0,30.0,74.39,74.5,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-4-A,30.0,55.0,74.5,74.75,,clay,with volcanic ash,clay ,clay with volcanic ash ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,P,1,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-4-A,55.0,84.0,74.75,75.04,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-4-A,84.0,121.0,75.04,75.41,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-4-A,121.0,141.0,75.41,75.61,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-4-A,141.0,150.0,75.61,75.7,,clay,,clay ,clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,,,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,4,A
349-U1431D-9H-5-A,0.0,7.0,75.7,75.77,,silt,with clay,silt ,silt with clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,7.0,13.0,75.77,75.83,,clay,,clay ,clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,13.0,19.0,75.83,75.89,,clay,with volcanic ash,clay ,clay with volcanic ash ,100,GLEY 1 6/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,P,1,,,,,,,,100,,,,planar,horizontal,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,19.0,51.0,75.89,76.21,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,51.0,57.0,76.21,76.27,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,57.0,68.0,76.27,76.38,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,68.0,80.0,76.38,76.5,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,80.0,90.0,76.5,76.6,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,90.0,114.0,76.6,76.84,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,irregular,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,114.0,130.0,76.84,77.0,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,130.0,139.0,77.0,77.09,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,139.0,145.0,77.09,77.15,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-5-A,145.0,150.0,77.15,77.2,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,5,A
349-U1431D-9H-6-A,0.0,3.0,77.2,77.23,,silt,with clay,silt ,silt with clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,6,A
349-U1431D-9H-6-A,3.0,60.0,77.23,77.8,,silt,with clay,silt ,silt with clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,6,A
349-U1431D-9H-6-A,60.0,69.0,77.8,77.89,,silt,with clay,silt ,silt with clay ,100,GLEY 1 6/10GY (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,irregular,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,6,A
349-U1431D-9H-6-A,69.0,99.0,77.89,78.19,,silt,with clay,silt ,silt with clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,6,A
349-U1431D-9H-6-A,99.0,110.0,78.19,78.3,,clay,,clay ,clay ,100,GLEY 1 5/5G (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,,,,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,6,A
349-U1431D-9H-7-A,0.0,5.0,78.3,78.35,,clay,with silt,clay ,clay with silt ,,GLEY 1 3/10Y (very dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,7,A
349-U1431D-9H-7-A,5.0,28.0,78.35,78.58,,silty clay,with sand,silty clay ,silty clay with sand ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,fine sand,4,moderate,,,,,,,,,,,,,,erosive,horizontal,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,7,A
349-U1431D-9H-7-A,28.0,43.0,78.58,78.73,,clay,with silt,clay ,clay with silt ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,7,A
349-U1431D-9H-7-A,43.0,48.0,78.73,78.78,,silty clay,with sand,silty clay ,silty clay with sand ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,fine sand,4,moderate,,,,,,,,,,,,,,erosive,horizontal,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,7,A
349-U1431D-9H-7-A,48.0,49.0,78.78,78.79,,clay,with silt,clay ,clay with silt ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,7,A
349-U1431D-9H-CC-A,0.0,7.0,78.79,78.86,,clay,with silt,clay ,clay with silt ,,GLEY 1 3/10Y (very dark greenish gray),slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,9,H,CC,A
349-U1431D-10H-1-A,0.0,20.0,79.2,79.4,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,0.0,32.0,79.2,79.52,,clay,with glauconite,clay ,clay with glauconite,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,20.0,55.0,79.4,79.75,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,32.0,48.0,79.52,79.68,,clay,with volcanic ash,clay ,clay with volcanic ash ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,48.0,54.0,79.68,79.74,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,54.0,69.0,79.74,79.89,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,55.0,72.0,79.75,79.92,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,69.0,82.0,79.89,80.02,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,72.0,78.0,79.92,79.98,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,78.0,110.0,79.98,80.3,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,82.0,91.0,80.02,80.11,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,91.0,97.0,80.11,80.17,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,97.0,101.0,80.17,80.21,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
349-U1431D-10H-1-A,101.0,124.0,80.21,80.44,,clay,with silt,clay ,clay with silt ,100,GLEY 1 5/5G (greenish gray),slightly consolidated,clay,1,silt,2,very well,,,,,,,,,,100,,,,erosive,curved,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,10,H,1,A
