Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
361,U1475,B,1,1-1,H,1,A,0.0,25.0,0.0,0.25,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,brown,10YR 6/3 (pale brown),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1475B-1H-1-A,,,
361,U1475,B,1,1-1,H,1,A,25.0,51.0,0.25,0.51,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,5Y 7/1 (light gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,burrows,slight,1,,,,,,,,,,361-U1475B-1H-1-A,,,
361,U1475,B,1,1-1,H,1,A,51.0,93.0,0.51,0.93,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,5Y 6/2 (light olive gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1475B-1H-1-A,,,
361,U1475,B,1,1-1,H,1,A,93.0,150.0,0.93,1.5,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,5Y 7/1 (light gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,burrows,slight,1,,,,,,,,,,361-U1475B-1H-1-A,,,
361,U1475,B,1,1-2,H,2,A,0.0,150.0,1.5,3.0,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,5Y 7/1 (light gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification (green layers),,,,,,,burrows,strong,3,,,,,,,,,,361-U1475B-1H-2-A,,,
361,U1475,B,1,1-3,H,3,A,0.0,68.5,3.0,3.685,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,5Y 7/1 (light gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification (green layers),,,,,,,burrows,moderate,2,,,,,,,,,,361-U1475B-1H-3-A,,,
361,U1475,B,1,1-3,H,3,A,68.5,145.0,3.685,4.45,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,5Y 6/2 (light olive gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1475B-1H-3-A,,,
361,U1475,B,1,1-4,H,4,A,0.0,25.0,4.5,4.75,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,5Y 6/2 (light olive gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1475B-1H-4-A,,,
361,U1475,B,1,1-4,H,4,A,25.0,138.0,4.75,5.88,2,foraminifer rich,nannofossil ooze [2014],,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light gray,5Y 7/1 (light gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification (green layers),,,,,,,burrows,moderate,2,,,,,,,,,,361-U1475B-1H-4-A,,,
361,U1475,B,1,1-CC,H,CC,A,0.0,14.0,5.88,6.02,2,foraminifer rich,nannofossil ooze [2014],,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light gray,5Y 7/1 (light gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification (green layers),,,,,,,burrows,slight,1,,,,,,,,,,361-U1475B-1H-CC-A,,,
