Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1456A-1H,0.0,454.0,0.0,4.54,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,1,H,,
355-U1456A-1H-1-A,0.0,28.0,0.0,0.28,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,brown,10YR 7/3 (very pale brown),,,,,,,,,,,,,,,,,,,,,,irregular,,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,A,1,H,1,A
355-U1456A-1H-1-A,28.0,150.0,0.28,1.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,gray,10YR 6/1 (gray),,,,,,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,shell,,,,,355,U1456,A,1,H,1,A
355-U1456A-1H-2-A,0.0,66.0,1.5,2.16,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light green,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,A,1,H,2,A
355-U1456A-1H-2-A,66.0,76.0,2.16,2.26,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,A,1,H,2,A
355-U1456A-1H-2-A,76.0,120.0,2.26,2.7,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light green,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,A,1,H,2,A
355-U1456A-1H-2-A,120.0,136.0,2.7,2.86,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,A,1,H,2,A
355-U1456A-1H-2-A,136.0,140.0,2.86,2.9,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,,,,,,355,U1456,A,1,H,2,A
355-U1456A-1H-3-A,0.0,35.0,3.0,3.35,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,A,1,H,3,A
355-U1456A-1H-3-A,35.0,50.0,3.35,3.5,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,1,H,3,A
355-U1456A-1H-3-A,50.0,123.0,3.5,4.23,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,A,1,H,3,A
355-U1456A-1H-3-A,123.0,132.0,4.23,4.32,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,1,H,3,A
355-U1456A-1H-CC-A,0.0,18.0,4.32,4.5,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,1,H,CC,A
355-U1456A-2H,0.0,590.0,4.5,10.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,2,H,,
355-U1456A-2H-1-A,0.0,78.0,4.5,5.28,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,1,A
355-U1456A-2H-1-A,78.0,138.0,5.28,5.88,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,A,2,H,1,A
355-U1456A-2H-1-A,138.0,150.0,5.88,6.0,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,2,H,1,A
355-U1456A-2H-2-A,0.0,21.0,6.0,6.21,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,2,A
355-U1456A-2H-2-A,21.0,28.0,6.21,6.28,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,,,,,,,,,,,,,,,355,U1456,A,2,H,2,A
355-U1456A-2H-2-A,28.0,54.0,6.28,6.54,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,2,A
355-U1456A-2H-2-A,54.0,94.0,6.54,6.94,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,2,A
355-U1456A-2H-2-A,94.0,130.0,6.94,7.3,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,A,2,H,2,A
355-U1456A-2H-2-A,130.0,150.0,7.3,7.5,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,mottling,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,2,H,2,A
355-U1456A-2H-3-A,0.0,13.0,7.5,7.63,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,3,A
355-U1456A-2H-3-A,13.0,54.0,7.63,8.04,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,3,A
355-U1456A-2H-3-A,54.0,140.0,8.04,8.9,,,nannofossil ooze,,nannofossil ooze,,burrows,white,GLEY 1 8/N (white gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,2,H,3,A
355-U1456A-2H-4-A,0.0,45.0,9.0,9.45,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/N (white gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,A,2,H,4,A
355-U1456A-2H-4-A,45.0,64.0,9.45,9.64,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,2,H,4,A
355-U1456A-2H-4-A,64.0,122.0,9.64,10.22,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,2,H,4,A
355-U1456A-2H-CC-A,0.0,13.0,10.22,10.35,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shell,,,,,355,U1456,A,2,H,CC,A
355-U1456A-3H,0.0,939.0,14.0,23.39,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,A,3,H,,
355-U1456A-3H-1-A,0.0,150.0,14.0,15.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,1,A
