Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain Size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1366B-1H-1-A,329,U1366,B,1,1-1,H,1,A,0,150,0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,0
329-U1366B-1H-2-A,329,U1366,B,1,1-2,H,2,A,0,150,1.5,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,1
329-U1366B-1H-3-A,329,U1366,B,1,1-3,H,3,A,0,140,3,4.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,2
329-U1366B-1H-4-A,329,U1366,B,1,1-4,H,4,A,0,150,4.4,5.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,3
329-U1366B-1H-5-A,329,U1366,B,1,1-5,H,5,A,0,53,5.9,6.43,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,4
329-U1366B-1H-6-A,329,U1366,B,1,1-6,H,6,A,0,107,6.43,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,5
329-U1366B-1H-CC-A,329,U1366,B,1,1-CC,H,CC,A,0,18,7.5,7.68,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,6
329-U1366B-2H-1-A,329,U1366,B,2,2-1,H,1,A,0,150,7.7,9.2,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,7
329-U1366B-2H-2-A,329,U1366,B,2,2-2,H,2,A,0,30,9.2,9.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,8
329-U1366B-2H-2-A,329,U1366,B,2,2-2,H,2,A,30,70,9.5,9.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,9
329-U1366B-2H-2-A,329,U1366,B,2,2-2,H,2,A,70,150,9.9,10.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,10
329-U1366B-2H-3-A,329,U1366,B,2,2-3,H,3,A,0,150,10.7,12.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,11
329-U1366B-2H-4-A,329,U1366,B,2,2-4,H,4,A,0,150,12.2,13.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,12
329-U1366B-2H-5-A,329,U1366,B,2,2-5,H,5,A,0,150,13.7,15.2,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,Expedition 329,,,,,,,,,13
329-U1366B-2H-6-A,329,U1366,B,2,2-6,H,6,A,0,150,15.2,16.7,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,Expedition 329,,,,,,,,,14
329-U1366B-2H-7-A,329,U1366,B,2,2-7,H,7,A,0,35,16.7,17.05,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,Expedition 329,,,,,,,,,15
329-U1366B-2H-CC-A,329,U1366,B,2,2-CC,H,CC,A,0,17,17.05,17.22,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,17
