Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
366-U1491C-4F-CC-A,0,10,15.49,15.59,III,,,,,,,"clast-supported, polymict",breccia-conglomerate,with lithic clasts,"clast-supported, polymict breccia-conglomerate with lithic clasts",N 8 (white),massive,unconsolidated,pebble,9,pebble,9,bimict - carbonate+UM,,,,,carbonate,60,pebble,10,pebble,9,sub-rounded,ultramafic rock,40,pebble,10,pebble,9,subangular,Mix of ultramafic and carbonate clasts,,,,No Matrix,,,,366,U1491,C,4,F,CC,A,,,,20
366-U1491C-5F-1-A,0,150,15.6,17.1,III,,,,,,,"clast-supported, polymict",breccia-conglomerate,with lithic clasts,"clast-supported, polymict breccia-conglomerate with lithic clasts",N 8 (white),massive,unconsolidated,very coarse sand,7,pebble,9,bimict - carbonate+UM,well,normally graded,,,carbonate,50,granule,8,pebble,9,sub-rounded,ultramafic rock,50,granule,8,pebble,9,subangular,Mix of ultramafic and carbonate clasts,,,,No matrix,,,,366,U1491,C,5,F,1,A,,,,21
366-U1491C-5F-2-A,0,8,17.1,17.18,III,,,,irregular,sharp,sub-horizontal,"clast-supported, polymict",breccia-conglomerate,with lithic clasts,"clast-supported, polymict breccia-conglomerate with lithic clasts",N 8 (white),massive,unconsolidated,pebble,9,pebble,9,Mix of ultramafic and carbonate clasts,well,,,,carbonate,70,pebble,10,pebble,9,sub-rounded,ultramafic rock,30,pebble,10,pebble,9,subangular,Mix of ultramafic and carbonate clasts,,,,No matrix,,,,366,U1491,C,5,F,2,A,,,,22
366-U1491C-5F-2-A,8,51,17.18,17.61,IV,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5G 6/1 (greenish gray),massive,unconsolidated,fine sand,4,pebble,9,,,,,,ultramafic rock,10,pebble,10,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,5,F,2,A,,,,23
366-U1491C-5F-2-A,51,120,17.61,18.3,IV,,,,,,,,,,,,,,,,,,Missing - Microbiology sample,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,C,5,F,2,A,,,,24
366-U1491C-5F-3-A,0,49,18.3,18.79,IV,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5G 6/1 (greenish gray),massive,unconsolidated,clay,1,pebble,9,,,normally graded,,,ultramafic rock,15,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,5,F,3,A,,,,25
366-U1491C-5F-CC-A,0,29,18.79,19.08,IV,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5GY 6/1 (greenish gray),massive,unconsolidated,clay,1,pebble,9,,,normally graded,,,ultramafic rock,10,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,5,F,CC,A,,,,26
366-U1491C-6F-1-A,0,26,19.1,19.36,IV,,,,irregular,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 7/1 (light gray),massive,unconsolidated,granule,8,pebble,9,,,normally graded,,,carbonate,40,granule,8,pebble,9,subangular,ultramafic rock,35,granule,8,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,1,A,,,,27
366-U1491C-6F-1-A,26,59,19.36,19.69,V,,,,planar,sharp,,serpentinite,breccia-conglomerate,with lithic clasts,serpentinite breccia-conglomerate with lithic clasts,7.5YR 7/1 (light gray),massive,unconsolidated,granule,8,pebble,9,,,normally graded,,,carbonate,40,granule,8,pebble,9,sub-rounded,ultramafic rock,20,granule,8,pebble,9,angular,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,1,A,,,,28
366-U1491C-6F-1-A,59,110,19.69,20.2,V,,,,,,,serpentinite,breccia-conglomerate,with lithic clasts,serpentinite breccia-conglomerate with lithic clasts,10YR 7/1 (light gray),massive,unconsolidated,pebble,9,pebble,9,,,normally graded,,,carbonate,40,pebble,10,pebble,9,subangular,ultramafic rock,30,pebble,10,pebble,9,angular,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,1,A,,,,29
366-U1491C-6F-2-A,0,35,20.2,20.55,V,,,,irregular,,,serpentinite,breccia-conglomerate,with lithic clasts,serpentinite breccia-conglomerate with lithic clasts,5GY 6/1 (greenish gray),massive,unconsolidated,pebble,9,pebble,9,,,normally graded,,,carbonate,60,pebble,10,pebble,9,sub-rounded,ultramafic rock,20,pebble,10,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,2,A,,,,30
366-U1491C-6F-2-A,35,51,20.55,20.71,VI,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5G 5/1 (greenish gray),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,20,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,2,A,,,,31
366-U1491C-6F-2-A,51,106,20.71,21.26,VI,,,,,,,,,,,,,,,,,,Missing - Microbiology samples,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,C,6,F,2,A,,,,32
366-U1491C-6F-3-A,0,52,21.26,21.78,VI,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10GY 6/1 (greenish gray),massive,unconsolidated,clay,1,,,,,,,,ultramafic rock,3,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,3,A,,,,33
366-U1491C-6F-CC-A,0,19,21.78,21.97,VI,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10GY 6/1 (greenish gray),massive,unconsolidated,clay,1,,,,,,,,ultramafic rock,3,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,6,F,CC,A,,,,34
