Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
369-U1516D-2R-1-A,0,86,458,458.86,,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"Between 41-45 and 67-70 cm, there are greenish gray (GLEY 1 6/10Y) intervals.",,,,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,D,2,R,1,A,,,
369-U1516D-2R-2-A,0,103,458.86,459.89,,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,D,2,R,2,A,,,
369-U1516D-2R-3-A,0,112,459.89,461.01,,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"Between 9-15, 32-34 and 101-106 cm, there are greenish gray (GLEY 1 6/5GY) intervals.",,,,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,D,2,R,3,A,,,
369-U1516D-2R-4-A,0,95,461.01,461.96,,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"Between 12-14, 29-36, 53-55 and 79-82 cm, there are greenish gray (GLEY 1 6/5GY) intervals. Shell fragments are present at 33-34 cm.",,,,,,,,shell fragment,trace,nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,D,2,R,4,A,,,
369-U1516D-3R-1-A,0,131,462.5,463.81,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"Between 34-38, 87-91 and 109-112 cm, there are greenish gray (GLEY 1 6/5GY) intervals. Shell fragments are present at 89 cm.",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,3,R,1,A,,,
369-U1516D-3R-2-A,0,145,463.81,465.26,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"Between 41-45 and 100-102 cm, there are greenish gray (GLEY 1 6/5GY) intervals.",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,3,R,2,A,,,
369-U1516D-3R-3-A,0,112,465.26,466.38,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"Between 10-17, 34-37, 52-54 and 83-90 cm, there are greenish gray (GLEY 1 6/5GY) intervals.",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,3,R,3,A,,,
369-U1516D-3R-CC-A,0,5,466.38,466.43,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,3,R,CC,A,,,
369-U1516D-4R-1-A,0,39,467,467.39,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,,color boundary or contact,irregular-straight,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,1,A,,,
369-U1516D-4R-1-A,39,129,467.39,468.29,,,,,,claystone ,,claystone,,,GLEY 1 5/5G (greenish gray),mottled,,,structureless,,clay ,1,,,moderate,2,,,,,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,1,A,,,
369-U1516D-4R-2-A,0,114,468.29,469.43,,,,,,claystone ,,claystone,,,GLEY 1 5/5G (greenish gray),mottled,,,structureless,,clay ,1,,,moderate,2,,,,,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,2,A,,,
369-U1516D-4R-3-A,0,31,469.43,469.74,,,,,,claystone ,,claystone,,,GLEY 1 5/5G (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"At the base of this interval, the color change to black (GLEY1 2/N)",color boundary or contact,non detectable,,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
369-U1516D-4R-3-A,31,34,469.74,469.77,,,,,,claystone ,,claystone,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
369-U1516D-4R-3-A,34,48,469.77,469.91,,,,,,claystone ,,claystone,,,GLEY 1 5/5G (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
369-U1516D-4R-3-A,48,61,469.91,470.04,,,,,,claystone ,,claystone,,,GLEY 1 2.5/N (black),mottled,parallel lamination,,,,clay ,1,,,none,0,"Between 48 to 53cm, sparse bioturbations are present and between 53 to 60cm, there are parallel laminations.",color boundary or contact,sharp,sharp,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
