Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
363-U1488C-1H-1-A,0,34,0,0.34,,nannofossil clay [X363],nannofossil clay,,7.5YR 7/3 (pink),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,1,A,,,,
363-U1488C-1H-1-A,34,63,0.34,0.63,nannofossil-rich [X363],diatom ooze [Leg339],nannofossil-rich diatom ooze,,5Y 7/3 (pale yellow),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,1,A,,,,
363-U1488C-1H-1-A,63,150,0.63,1.5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,1,A,,,,
363-U1488C-1H-2-A,0,67,1.5,2.17,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,2,A,,,,
363-U1488C-1H-2-A,67,150,2.17,3,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,2,A,,,,
363-U1488C-1H-3-A,0,71,3,3.71,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,3,A,,,,
363-U1488C-1H-3-A,71,150,3.71,4.5,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,3,A,,,,
363-U1488C-1H-4-A,0,23,4.5,4.73,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,4,A,,,,
363-U1488C-1H-4-A,23,60,4.73,5.1,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,4,A,,,,
363-U1488C-1H-4-A,60,90,5.1,5.4,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,4,A,,,,
