Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
354-U1452B-1H-1-A,0,150,0,1.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,green,,,,,,,,mottling [BJ80],,,,,,,,354,U1452,B,1,H,1,A,,,,0
354-U1452B-1H-2-A,0,14,1.5,1.64,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,green,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1452,B,1,H,2,A,,,,1
354-U1452B-1H-2-A,14,37,1.64,1.87,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp irregular,,,,,,,normally graded,,,,Lower part of the ash layer disturbed by cutting.,,,,354,U1452,B,1,H,2,A,,,,2
354-U1452B-1H-2-A,37,150,1.87,3,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,white,,,,,,,,mottling [BJ80],,,,,,,,354,U1452,B,1,H,2,A,,,,3
354-U1452B-1H-3-A,0,150,3,4.5,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,white,,,,,,,,mottling [BJ80],,,,79-84 blob of ash probably a coring disturbance.,,,,354,U1452,B,1,H,3,A,,,,4
354-U1452B-1H-4-A,0,88,4.5,5.38,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light green,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,1,H,4,A,,,,5
354-U1452B-1H-4-A,88,122,5.38,5.72,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp irregular,,,,,,,mud clast,,,,,,,,354,U1452,B,1,H,4,A,,,,6
354-U1452B-1H-4-A,122,150,5.72,6,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,B,1,H,4,A,,,,7
354-U1452B-1H-5-A,0,73,6,6.73,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thick bed [B01],,,,,,,,,,,354,U1452,B,1,H,5,A,,,,8
354-U1452B-1H-5-A,73,105,6.73,7.05,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,B,1,H,5,A,,,,9
354-U1452B-1H-5-A,105,113,7.05,7.13,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp irregular,,,,,,,,,,,tilted during core recovery.,,,,354,U1452,B,1,H,5,A,,,,10
354-U1452B-1H-5-A,113,130,7.13,7.3,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,1,H,5,A,,,,11
354-U1452B-1H-5-A,130,150,7.3,7.5,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,white,,,,,,,,mottling [BJ80],,,,,,,,354,U1452,B,1,H,5,A,,,,12
