Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
354-U1453A-1H-1-A,0,120,0,1.2,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,burrows,,,,,,,,354,U1453,A,1,H,1,A,,,
354-U1453A-1H-2-A,0,46,1.2,1.66,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,1,H,2,A,,,
354-U1453A-1H-2-A,46,59,1.66,1.79,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,1,H,2,A,,,
354-U1453A-1H-2-A,59,150,1.79,2.7,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,light gray,,,,,,,,burrows,,,,,,,,354,U1453,A,1,H,2,A,,,
354-U1453A-1H-3-A,0,20,2.7,2.9,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,light gray,,,,,,,,burrows,,,,,,,,354,U1453,A,1,H,3,A,,,
354-U1453A-1H-3-A,20,150,2.9,4.2,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,dark gray,,,,,,,,burrows,,,,,,,,354,U1453,A,1,H,3,A,,,
354-U1453A-1H-4-A,0,25,4.2,4.45,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,light gray,gradational,,,,,,,burrows,,,,,,,,354,U1453,A,1,H,4,A,,,
354-U1453A-1H-4-A,25,150,4.45,5.7,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,1,H,4,A,,,
354-U1453A-1H-5-A,0,150,5.7,7.2,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,1,H,5,A,,,
354-U1453A-1H-6-A,0,110,7.2,8.3,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,1,H,6,A,,,
354-U1453A-1H-7-A,0,61,8.3,8.91,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,1,H,7,A,,,
354-U1453A-1H-CC-A,0,10,8.91,9.01,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,1,H,CC,A,,,
