Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
354-U1455B-1H-1-A,8,15,0.08,0.15,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,gray,sharp irregular,sub-horizontal,,,,,,patch or bleb,blebs of underlying calcareous clay,,,,,,,354,U1455,B,1,H,1,A,,,,0
354-U1455B-1H-1-A,15,50,0.15,0.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,brown,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1455,B,1,H,1,A,,,,1
354-U1455B-1H-1-A,50,61,0.5,0.61,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,greenish gray,sharp irregular,sub-horizontal,thin bed [B01],sand [Leg210],lamina [M&W53],,,,,,,,,,,354,U1455,B,1,H,1,A,,,,2
354-U1455B-1H-1-A,61,72,0.61,0.72,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1455,B,1,H,1,A,,,,3
354-U1455B-1H-1-A,72,90,0.72,0.9,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,gray,sharp planar,horizontal,,,,T,,parallel lamination,,,,single turbidite with parallel lamination in the basal section,,,,354,U1455,B,1,H,1,A,,,,4
354-U1455B-1H-1-A,90,137,0.9,1.37,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1455,B,1,H,1,A,,,,5
354-U1455B-1H-1-A,137,150,1.37,1.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,brown,,,,,,H,,mottling [BJ80],,,,,,,,354,U1455,B,1,H,1,A,,,,6
354-U1455B-1H-2-A,0,97,1.5,2.47,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,brown,,,,,,H,,mottling [BJ80],,,,one <cm layer of greenish brown calcareous clay with forams,,,,354,U1455,B,1,H,2,A,,,,7
354-U1455B-1H-3-A,0,9,2.47,2.56,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,brown,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1455,B,1,H,3,A,,,,8
354-U1455B-1H-3-A,9,39,2.56,2.86,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1455,B,1,H,3,A,,,,9
354-U1455B-1H-3-A,39,50,2.86,2.97,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,sub-horizontal,,,,H,,,,,,,,,,354,U1455,B,1,H,3,A,,,,10
354-U1455B-1H-3-A,50,95,2.97,3.42,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,gray,,,,,,,,,,,,,,,,354,U1455,B,1,H,3,A,,,,11
354-U1455B-1H-3-A,102,107,3.49,3.54,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,H,,,,,,,,,,354,U1455,B,1,H,3,A,,,,12
354-U1455B-1H-4-A,0,31,3.54,3.85,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,gray,sharp irregular,sub-horizontal,,,,H,,,,,,,,,,354,U1455,B,1,H,4,A,,,,13
354-U1455B-1H-4-A,31,40,3.85,3.94,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,gray,,,,,,H,,mottling [BJ80],,,,,,,,354,U1455,B,1,H,4,A,,,,14
354-U1455B-1H-4-A,45,100,3.99,4.54,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1455,B,1,H,4,A,,,,15
