Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
323-U1341B-1H-1-A,323,U1341,B,1,1-1,H,1,A,0,108,0,1.08,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,0
323-U1341B-1H-1-A,323,U1341,B,1,1-1,H,1,A,108,129,1.08,1.29,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,100,soft,5Y 4/3,,,,,,,,,,,,,,,,,1
323-U1341B-1H-1-A,323,U1341,B,1,1-1,H,1,A,129,141,1.29,1.41,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,2
323-U1341B-1H-1-A,323,U1341,B,1,1-1,H,1,A,141,150,1.41,1.5,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,100,soft,5Y 4/3,,,,,,,,,,,,,,,,,3
323-U1341B-1H-2-A,323,U1341,B,1,1-2,H,2,A,0,23,1.5,1.73,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,100,soft,5Y 4/3,,,,,,,,,,,,,,,,,4
323-U1341B-1H-2-A,323,U1341,B,1,1-2,H,2,A,23,150,1.73,3,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,5
323-U1341B-1H-3-A,323,U1341,B,1,1-3,H,3,A,0,150,3,4.5,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,6
323-U1341B-1H-4-A,323,U1341,B,1,1-4,H,4,A,0,150,4.5,6,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,7
323-U1341B-1H-5-A,323,U1341,B,1,1-5,H,5,A,0,29,6,6.29,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,8
323-U1341B-1H-5-A,323,U1341,B,1,1-5,H,5,A,29,128,6.29,7.28,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,9
323-U1341B-1H-5-A,323,U1341,B,1,1-5,H,5,A,128,150,7.28,7.5,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,10
323-U1341B-1H-6-A,323,U1341,B,1,1-6,H,6,A,0,59,7.5,8.09,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,11
323-U1341B-1H-6-A,323,U1341,B,1,1-6,H,6,A,59,96,8.09,8.46,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,12
323-U1341B-1H-CC-A,323,U1341,B,1,1-CC,H,CC,A,0,13,8.46,8.59,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,13
323-U1341B-2H-1-A,323,U1341,B,2,2-1,H,1,A,0,20,8.7,8.9,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,14
323-U1341B-2H-1-A,323,U1341,B,2,2-1,H,1,A,20,70,8.9,9.4,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,30,soft,10Y 4/1,,,,,1-3cm interval alternating,,,,,,,,,,,,15
323-U1341B-2H-1-A,323,U1341,B,2,2-1,H,1,A,20,70,8.9,9.4,diatom ooze,Leg 323,,diatom ooze,70,soft,5Y 4/2,,,,,1-3cm interval alternating,,,,,,,,,,,,16
323-U1341B-2H-1-A,323,U1341,B,2,2-1,H,1,A,70,150,9.4,10.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,17
