Sample,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color(name),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
330-U1374A-1R-1-A,330,U1374,A,1,R,1,A,0,132,0,1.32,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,0
330-U1374A-1R-1-A,330,U1374,A,1,R,1,A,132,144,1.32,1.44,dark yellowish brown,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,1
330-U1374A-1R-1-A,330,U1374,A,1,R,1,A,144,150,1.44,1.5,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,2
330-U1374A-1R-2-A,330,U1374,A,1,R,2,A,0,150,1.5,3,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,3
330-U1374A-1R-3-A,330,U1374,A,1,R,3,A,0,150,3,4.5,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,4
330-U1374A-1R-4-A,330,U1374,A,1,R,4,A,0,150,4.5,6,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,5
330-U1374A-1R-5-A,330,U1374,A,1,R,5,A,0,49,6,6.49,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,,,,,6
330-U1374A-1R-5-A,330,U1374,A,1,R,5,A,49,63.5,6.49,6.635,brown,pumiceous,gravel [USGS-F54],,pumiceous gravel,,pebble [U14W22],5,subangular[330],unlithified,,,,,,7
330-U1374A-1R-5-A,330,U1374,A,1,R,5,A,63.5,71,6.635,6.71,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",,,,,8
330-U1374A-1R-6-A,330,U1374,A,1,R,6,A,0,55,6.71,7.26,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",,,,,9
