Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1406B-1H-1-A,342,U1406,B,1,1-1,H,1,A,0,150,0,1.5,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,7.5YR 6/4 (light brown),,,,heavy_339 [DB91],5,,"perfect mudline, transition to Unit 2 is within 2 cm of the U1406A transtion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1406B-1H-2-A,342,U1406,B,1,1-2,H,2,A,0,113,1.5,2.63,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,7.5YR 6/4 (light brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1406B-1H-2-A,342,U1406,B,1,1-2,H,2,A,113,150,2.63,3,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1406B-1H-3-A,342,U1406,B,1,1-3,H,3,A,0,119,3,4.19,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-1H-CC-A,342,U1406,B,1,1-CC,H,CC,A,0,7,4.19,4.31,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-2H-1-A,342,U1406,B,2,2-1,H,1,A,0,150,4.3,5.8,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-2H-2-A,342,U1406,B,2,2-2,H,2,A,0,150,5.8,7.3,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-2H-3-A,342,U1406,B,2,2-3,H,3,A,0,150,7.3,8.8,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-2H-4-A,342,U1406,B,2,2-4,H,4,A,0,150,8.8,10.3,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-2H-5-A,342,U1406,B,2,2-5,H,5,A,0,150,10.3,11.8,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
