dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
,344-U1412B-1H-1-A,344,U1412,B,1,1-1,H,1,A,0,150,0,1.5,slurry,slight [drilling disturbance],2,,clay [USGS],,5GY 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,traces of pyrite,sponge-spicule ooze [USGS],,,,,,,rare,,,,slight [B06],2,soupy only in uppermost dm,,,,,,
,344-U1412B-1H-2-A,344,U1412,B,1,1-2,H,2,A,0,150,1.5,3,,minimal [drilling disturbance],1,,clay [USGS],,5GY 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,"with a few pods of dark ash at 91 cm, and 141 cm; disseminated carbonate shell; glauconite at 123 cm",sponge-spicule ooze [USGS],,,,,,,rare,,,,slight [B06],2,,,,,,,
,344-U1412B-1H-3-A,344,U1412,B,1,1-3,H,3,A,0,150,3,4.5,,minimal [drilling disturbance],1,,clay [USGS],,5GY 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,"with pods of light-colored and dark ash at 32 cm and 85 cm and in addition some dispers ash; traces of pyrite, glauconite",,,,,,,,,,,,slight [B06],2,,,,,,,
,344-U1412B-1H-4-A,344,U1412,B,1,1-4,H,4,A,0,125,4.5,5.75,,minimal [drilling disturbance],1,,clay [USGS],,5GY 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,possibly some dispers ash component,sand [USGS],,,,,,,with glauconite,,,,slight [B06],2,,,,,,,
,344-U1412B-1H-5-A,344,U1412,B,1,1-5,H,5,A,0,73,5.75,6.48,,minimal [drilling disturbance],1,,clay [USGS],,5GY 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,carbonate shells distributed throughout core,sand [USGS],,,,,,,with glauconite,,,,slight [B06],2,,,,,,,
,344-U1412B-1H-CC-A,344,U1412,B,1,1-CC,H,CC,A,0,19,6.48,6.67,,slight [drilling disturbance],2,,clay [USGS],,5GY 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,mm-sized pod of dark fine ash at 4 cm,,,,,,,,,,,,slight [B06],2,,,,,,,
,344-U1412B-1H-CC-A,344,U1412,B,1,1-CC,H,CC,A,19,26,6.67,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,
,344-U1412B-3X-1-A,344,U1412,B,3,3-1,X,1,A,0,82,155.8,156.62,,moderate [drilling disturbance],4,calcareous [Leg339],sandstone [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   sandstone ,calcareous  sandstone  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-3X-2-A,344,U1412,B,3,3-2,X,2,A,0,140,156.62,158.02,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-3X-3-A,344,U1412,B,3,3-3,X,3,A,0,72,158.02,158.74,,moderate [drilling disturbance],4,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-3X-CC-A,344,U1412,B,3,3-CC,X,CC,A,0,24,158.74,158.98,,moderate [drilling disturbance],4,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-3X-CC-A,344,U1412,B,3,3-CC,X,CC,A,24,29,158.98,159.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,
,344-U1412B-4X-1-A,344,U1412,B,4,4-1,X,1,A,0,147,165.5,166.97,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,diffuse pod of light-colored ash at 70-71 cm,,,,,,,,,,,,,,,,,,,,
,344-U1412B-4X-2-A,344,U1412,B,4,4-2,X,2,A,0,101,166.97,167.98,void,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,void at 55-63 cm,,,,,,
,344-U1412B-4X-2-A,344,U1412,B,4,4-2,X,2,A,101,120,167.98,168.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,
,344-U1412B-4X-3-A,344,U1412,B,4,4-3,X,3,A,0,50,168.17,168.67,,moderate [drilling disturbance],4,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-4X-CC-A,344,U1412,B,4,4-CC,X,CC,A,0,17,168.67,168.84,,moderate [drilling disturbance],4,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
