Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
349-U1431E-7R-1-#1-A,0,4,603.3,603.34,,mudstone [Leg210],,mudstone ,mudstone ,,GLEY 1 4/5GY (dark greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,,,,,,,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,0
349-U1431E-7R-1-#11-A,0,11,604.49,604.6,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,1
349-U1431E-7R-1-#2-A,0,8,603.34,603.42,,sandstone [Leg339],,sandstone ,sandstone ,,GLEY 1 4/10Y (dark greenish gray),lithified [B84],medium sand [W22_2],5,medium sand [W22_2],5,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],cross-lamination,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,2
349-U1431E-7R-1-#3-A,0,4,603.42,603.46,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,granule [W22_2],8,poor [BP01],,,,,,,,,,,,,,,,thin bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,3
349-U1431E-7R-1-#4-A,0,5,603.46,603.51,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,granule [W22_2],8,poor [BP01],,,,,,,,,,,,,,,,thin bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,4
349-U1431E-7R-1-#5-A,0,4,603.51,603.55,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,granule [W22_2],8,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,5
349-U1431E-7R-1-#6-A,0,3,603.55,603.58,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,granule [W22_2],8,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,6
349-U1431E-7R-1-#7-A,0,20,603.58,603.78,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],graded bedding,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,7
349-U1431E-7R-1-#8-A,0,3,603.78,603.81,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,granule [W22_2],8,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,8
349-U1431E-7R-1-#9-A,0,60,603.81,604.41,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,1,A,9
349-U1431E-7R-2-#1-A,0,60,604.6,605.2,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],graded bedding,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,2,A,10
349-U1431E-7R-2-#2-A,0,11,605.2,605.31,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,2,A,11
349-U1431E-7R-2-#3-A,0,14,605.31,605.45,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,2,A,12
349-U1431E-7R-2-#4-A,0,19,605.45,605.64,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,2,A,13
349-U1431E-7R-2-#5-A,0,12,605.64,605.76,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,2,A,14
349-U1431E-7R-2-#6-A,0,23,605.76,605.99,,breccia [F70],,breccia ,breccia ,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,angular,basalt [IUGS-S78&79],,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,7,R,2,A,15
349-U1431E-8R-1-#1-A,0,7,613,613.07,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),moderately consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,16
349-U1431E-8R-1-#2-A,0,41,613.07,613.48,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],very fine sand [W22_2],3,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,,,thick bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,17
349-U1431E-8R-1-#3-A,0,8,613.48,613.56,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],very fine sand [W22_2],3,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,,,thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,18
349-U1431E-8R-1-#4-A,0,14,613.56,613.7,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],silt [W22_1],2,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,19
349-U1431E-8R-1-#5-A,0,11,613.7,613.81,,sandstone [Leg339],,sandstone ,sandstone ,,GLEY 1 4/10Y (dark greenish gray),lithified [B84],very fine sand [W22_2],3,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,20
349-U1431E-8R-1-#5-A,11,44,613.81,614.14,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],silt [W22_1],2,very fine sand [W22_2],3,well [BP01],,,,,,,,,,,,,,,,thick bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,21
349-U1431E-8R-1-#6-A,0,4,614.14,614.18,,sandstone [Leg339],,sandstone ,sandstone ,,GLEY 1 4/10Y (dark greenish gray),lithified [B84],very fine sand [W22_2],3,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,erosive,horizontal,thin bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,22
349-U1431E-8R-1-#6-A,4,19,614.18,614.33,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],silt [W22_1],2,very fine sand [W22_2],3,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,23
349-U1431E-8R-1-#7-A,0,4,614.33,614.37,,sandstone [Leg339],,sandstone ,sandstone ,,GLEY 1 4/10Y (dark greenish gray),lithified [B84],very fine sand [W22_2],3,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,,,thin bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,24
349-U1431E-8R-1-#8-A,0,5,614.37,614.42,,sandstone [Leg339],,sandstone ,sandstone ,,GLEY 1 4/10Y (dark greenish gray),lithified [B84],coarse sand [W22_2],6,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,,,thin bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,1,A,25
349-U1431E-8R-2-#1-A,0,46,614.42,614.88,,claystone [Leg339],,claystone ,claystone ,,GLEY 1 6/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,sub-horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,2,A,26
349-U1431E-8R-2-#1-A,46,52,614.88,614.94,,sandstone [Leg339],with volcanic ash [Leg339],sandstone ,sandstone with volcanic ash ,,GLEY 1 2.5/N (black),lithified [B84],coarse sand [W22_2],6,coarse sand [W22_2],6,well [BP01],,,,,,,,,,,,,,,,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,2,A,27
349-U1431E-8R-2-#2-A,0,12,614.94,615.06,,claystone [Leg339],,claystone ,claystone ,,GLEY 1 5/N (gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,2,A,28
349-U1431E-8R-2-#4-A,0,23,615.14,615.37,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],silt [W22_1],2,very fine sand [W22_2],3,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,2,A,29
349-U1431E-8R-2-#5-A,0,12,615.37,615.49,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],silt [W22_1],2,very fine sand [W22_2],3,very poor [BP01],,,,,,,,,,,,,,,,medium bed [B01],graded bedding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,2,A,30
349-U1431E-8R-2-#6-A,0,12,615.49,615.61,,siltstone [Leg339],with sand [Leg339],siltstone ,siltstone with sand ,,GLEY 1 5/10Y (greenish gray),lithified [B84],silt [W22_1],2,very fine sand [W22_2],3,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],graded bedding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,8,R,2,A,31
