Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1489C-1H-1-A,0,32,0,0.32,clay-rich diatom-rich [X363],nannofossil ooze [Leg339],clay-rich diatom-rich nannofossil ooze,,7.5YR 6/4 (light brown),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,1,A,,,,,0
363-U1489C-1H-1-A,32,64,0.32,0.64,clay-rich diatom-rich [X363],nannofossil ooze [Leg339],clay-rich diatom-rich nannofossil ooze,,2.5YR 6/4 (light reddish brown),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,1,A,,,,,1
363-U1489C-1H-1-A,64,128,0.64,1.28,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,1,A,,,,,2
363-U1489C-1H-1-A,128,150,1.28,1.5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,1,A,,,,,3
363-U1489C-1H-2-A,0,33,1.5,1.83,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,2,A,,,,,4
363-U1489C-1H-2-A,33,119,1.83,2.69,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,2,A,,,,,5
363-U1489C-1H-3-A,0,27,2.69,2.96,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5Y 7/2 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,3,A,,,,,6
363-U1489C-1H-3-A,27,76,2.96,3.45,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,3,A,,,,,7
363-U1489C-1H-CC-A,0,9,3.45,3.54,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,CC,A,,,,,8
363-U1489C-2H-1-A,0,35,3.5,3.85,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,1,A,,,,,9
363-U1489C-2H-1-A,35,54,3.85,4.04,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,1,A,,,,,10
363-U1489C-2H-1-A,54,96,4.04,4.46,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,10Y 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,1,A,,,,,11
363-U1489C-2H-1-A,96,115,4.46,4.65,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,1,A,,,,,12
363-U1489C-2H-1-A,115,150,4.65,5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,1,A,,,,,13
363-U1489C-2H-2-A,0,30,5,5.3,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,2,A,,,,,14
363-U1489C-2H-2-A,30,57,5.3,5.57,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,2,A,,,,,15
363-U1489C-2H-2-A,57,69,5.57,5.69,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,2,A,,,,,16
363-U1489C-2H-2-A,69,134,5.69,6.34,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,2,A,,,,,17
363-U1489C-2H-2-A,134,150,6.34,6.5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,2,A,,,,,18
363-U1489C-2H-3-A,0,25,6.5,6.75,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,3,A,,,,,19
363-U1489C-2H-3-A,25,73,6.75,7.23,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,3,A,,,,,20
363-U1489C-2H-3-A,73,99,7.23,7.49,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,3,A,,,,,21
363-U1489C-2H-3-A,99,121,7.49,7.71,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,3,A,,,,,22
363-U1489C-2H-3-A,121,143,7.71,7.93,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,3,A,,,,,23
363-U1489C-2H-3-A,143,150,7.93,8,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,3,A,,,,,24
363-U1489C-2H-4-A,0,24,8,8.24,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,4,A,,,,,25
363-U1489C-2H-4-A,24,50,8.24,8.5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,4,A,,,,,26
363-U1489C-2H-4-A,50,62,8.5,8.62,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,4,A,,,,,27
363-U1489C-2H-4-A,62,150,8.62,9.5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,4,A,,,,,28
363-U1489C-2H-5-A,0,7,9.5,9.57,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,5,A,,,,,29
363-U1489C-2H-5-A,7,32,9.57,9.82,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,5,A,,,,,30
363-U1489C-2H-5-A,32,59,9.82,10.09,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,5,A,,,,,31
363-U1489C-2H-5-A,59,117,10.09,10.67,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,5,A,,,,,32
363-U1489C-2H-5-A,117,134,10.67,10.84,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,5,A,,,,,33
363-U1489C-2H-5-A,134,150,10.84,11,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,5,A,,,,,34
363-U1489C-2H-6-A,0,50,11,11.5,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,6,A,,,,,35
363-U1489C-2H-6-A,50,133,11.5,12.33,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,6,A,,,,,36
