Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File data,row_index
339-U1391B-1H-1-A,339,U1391,B,1,1-1,H,1,A,0,30,0,0.3,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/3 (brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks below 17 cm,100,100,,0
339-U1391B-1H-1-A,339,U1391,B,1,1-1,H,1,A,30,65,0.3,0.65,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,1
339-U1391B-1H-1-A,339,U1391,B,1,1-1,H,1,A,65,151,0.65,1.51,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,2
339-U1391B-1H-2-A,339,U1391,B,1,1-2,H,2,A,0,20,1.51,1.71,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,3
339-U1391B-1H-2-A,339,U1391,B,1,1-2,H,2,A,20,83,1.71,2.34,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 4/1 (dark gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,4
339-U1391B-1H-2-A,339,U1391,B,1,1-2,H,2,A,83,150,2.34,3.01,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,5
339-U1391B-1H-3-A,339,U1391,B,1,1-3,H,3,A,0,150,3.01,4.51,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,6
339-U1391B-1H-4-A,339,U1391,B,1,1-4,H,4,A,0,60,4.51,5.11,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,7
339-U1391B-1H-4-A,339,U1391,B,1,1-4,H,4,A,60,82,5.11,5.33,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,common ,,pteropod at 76-77 cm. black specks.,100,100,,8
339-U1391B-1H-4-A,339,U1391,B,1,1-4,H,4,A,82,113,5.33,5.64,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,foram and pteropod-filled burrows at 93-95 cm.,100,100,,9
339-U1391B-1H-4-A,339,U1391,B,1,1-4,H,4,A,113,150,5.64,6.01,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,10
339-U1391B-1H-5-A,339,U1391,B,1,1-5,H,5,A,0,14,6.01,6.15,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,11
339-U1391B-1H-5-A,339,U1391,B,1,1-5,H,5,A,14,23,6.15,6.24,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10YR 5/2 (grayish brown),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,abundant forams,100,100,,12
339-U1391B-1H-5-A,339,U1391,B,1,1-5,H,5,A,23,150,6.24,7.51,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,13
339-U1391B-1H-6-A,339,U1391,B,1,1-6,H,6,A,0,150,7.51,9.01,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,14
339-U1391B-1H-7-A,339,U1391,B,1,1-7,H,7,A,0,55,9.01,9.56,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,15
339-U1391B-1H-CC-A,339,U1391,B,1,1-CC,H,CC,A,0,10,9.56,9.66,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,16
339-U1391B-2H-1-A,339,U1391,B,2,2-1,H,1,A,0,150,9.5,11,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,17
339-U1391B-2H-2-A,339,U1391,B,2,2-2,H,2,A,0,150,11,12.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,18
339-U1391B-2H-3-A,339,U1391,B,2,2-3,H,3,A,0,131,12.5,13.81,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,19
339-U1391B-2H-3-A,339,U1391,B,2,2-3,H,3,A,131,146,13.81,13.96,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,10YR 5/1 (gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,20
339-U1391B-2H-3-A,339,U1391,B,2,2-3,H,3,A,146,150,13.96,14,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,21
339-U1391B-2H-4-A,339,U1391,B,2,2-4,H,4,A,0,150,14,15.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"black specks, pyritized burrows at 21 cm.",100,100,,22
339-U1391B-2H-5-A,339,U1391,B,2,2-5,H,5,A,0,150,15.5,17,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"black specks throughout, more silt in 60-68 cm and 100-117 cm.",100,100,,23
339-U1391B-2H-6-A,339,U1391,B,2,2-6,H,6,A,0,150,17,18.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"black specks, pyritized burrows.",100,100,,24
339-U1391B-2H-7-A,339,U1391,B,2,2-7,H,7,A,0,71,18.5,19.21,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"black specks, gastropod shell and scaphopod fragments at 67-68 cm.",100,100,,25
339-U1391B-2H-CC-A,339,U1391,B,2,2-CC,H,CC,A,0,33,19.21,19.54,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,26
339-U1391B-3H-1-A,339,U1391,B,3,3-1,H,1,A,0,150,19,20.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,27
339-U1391B-3H-2-A,339,U1391,B,3,3-2,H,2,A,0,150,20.5,22,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,28
339-U1391B-3H-3-A,339,U1391,B,3,3-3,H,3,A,0,61,22,22.61,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,29
339-U1391B-3H-3-A,339,U1391,B,3,3-3,H,3,A,61,72,22.61,22.72,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,bioturbated boundary or contact,normal grading,,,,,slight_339 ,3,,,,100,100,,30
339-U1391B-3H-3-A,339,U1391,B,3,3-3,H,3,A,72,96,22.72,22.96,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,72-75 cm sand laminae,100,100,,31
339-U1391B-3H-3-A,339,U1391,B,3,3-3,H,3,A,96,105,22.96,23.05,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10YR 5/1 (gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,sharp contact,,,,,,slight_339 ,3,,,,100,100,,32
339-U1391B-3H-3-A,339,U1391,B,3,3-3,H,3,A,105,110,23.05,23.1,calcareous ,sandy mud ,,calcareous   sandy mud ,calcareous  sandy mud ,sandy mud ,100,10YR 5/1 (gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,sharp contact,,,,,,slight_339 ,3,,,abundant forams,100,100,,33
339-U1391B-3H-3-A,339,U1391,B,3,3-3,H,3,A,110,150,23.1,23.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"black specks, sand-filled burrows",100,100,,34
339-U1391B-3H-4-A,339,U1391,B,3,3-4,H,4,A,0,61,23.5,24.11,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,35
