Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data
"339-U1389E-2R-1-A, 0-132",339,U1389,E,2,2-1,R,1,A,0,132,335,336.32,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,few ,,"Shell fragments, forams and pyrite filled burrows present",100,100,
"339-U1389E-2R-1-A, 132-143",339,U1389,E,2,2-1,R,1,A,132,143,336.32,336.43,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,10Y 4/1 (dark greenish gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,,,"Shell fragments, forams and pyrite filled burrows present",100,100,
"339-U1389E-2R-2-A, 0-90",339,U1389,E,2,2-2,R,2,A,0,90,336.43,337.33,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,"Shell fragments, forams and pyrite filled burrows present",100,100,
"339-U1389E-2R-CC-A, 0-6",339,U1389,E,2,2-CC,R,CC,A,0,6,337.33,337.39,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,"Shell fragments, forams and pyrite filled burrows present",100,100,
"339-U1389E-3R-1-A, 0-150",339,U1389,E,3,3-1,R,1,A,0,150,339.5,341,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present.",100,100,
"339-U1389E-3R-2-A, 0-5",339,U1389,E,3,3-2,R,2,A,0,5,341,341.05,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present.",100,100,
"339-U1389E-3R-2-A, 5-15",339,U1389,E,3,3-2,R,2,A,5,15,341.05,341.15,,sandy mud ,with biogenic carbonate ,sandy mud ,sandy mud  with biogenic carbonate ,sandy mud   with biogenic carbonate ,100,10Y 4/1 (dark greenish gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present.",100,100,
"339-U1389E-3R-2-A, 15-150",339,U1389,E,3,3-2,R,2,A,15,150,341.15,342.5,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present.",100,100,
"339-U1389E-3R-3-A, 0-6",339,U1389,E,3,3-3,R,3,A,0,6,342.5,342.56,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present.",100,100,
"339-U1389E-3R-3-A, 6-10",339,U1389,E,3,3-3,R,3,A,6,10,342.56,342.6,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,10Y 4/1 (dark greenish gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,"Shell fragments, forams and pyrite filled burrows present.",100,100,
