Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
346-U1422E-1H-1-A,0,150,0,1.5,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,1,A,0
346-U1422E-1H-2-A,0,150,1.5,3,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,2,A,1
346-U1422E-1H-3-A,0,150,3,4.5,,silty clay [MMK88],,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,3,A,2
346-U1422E-1H-4-A,0,150,4.5,6,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,4,A,3
346-U1422E-1H-5-A,0,150,6,7.5,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,5,A,4
346-U1422E-1H-6-A,0,122,7.5,8.72,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,6,A,5
346-U1422E-1H-7-A,0,68,8.72,9.4,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,7,A,6
346-U1422E-1H-CC-A,0,23,9.4,9.63,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,1,H,CC,A,7
346-U1422E-2H-1-A,0,11,9.5,9.61,,clay ,,clay ,,,,color banding,10G 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,8
346-U1422E-2H-1-A,11,38,9.61,9.88,,silty clay ,,silty clay ,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,9
346-U1422E-2H-1-A,38,40,9.88,9.9,,tephra ,,tephra ,vitric,,,,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,10
346-U1422E-2H-1-A,40,58,9.9,10.08,,clay ,,clay ,,,,color banding,5BG 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,11
346-U1422E-2H-1-A,58,62,10.08,10.12,,silty clay [MMK88],,silty clay ,,,,lamination,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,12
346-U1422E-2H-1-A,62,64,10.12,10.14,,tephra ,,tephra ,vitric,,,,10YR 3/1 (very dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,13
346-U1422E-2H-1-A,64,82,10.14,10.32,,silty clay ,,silty clay ,,,,lamination,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,14
346-U1422E-2H-1-A,82,97,10.32,10.47,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,15
346-U1422E-2H-1-A,97,98,10.47,10.48,,tephra ,,tephra ,vitric,,,,N 7 (light gray),,,,,,,,,,,,,,,,,tephra ,tephra ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,16
346-U1422E-2H-1-A,98,150,10.48,11,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,1,A,17
346-U1422E-2H-1-A,105,106,10.55,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodule,sulfide,,,Pyrite nodule.,,,,,,,,,,,,,,,,,,,346,U1422,E,2,H,1,A,18
346-U1422E-2H-1-A,114,126,10.64,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microfault,,,,,,,,,,,,,,,,,,,,346,U1422,E,2,H,1,A,19
346-U1422E-2H-1-A,137,138,10.87,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodule,sulfide,,,Pyrite nodule.,,,,,,,,,,,,,,,,,,,346,U1422,E,2,H,1,A,20
346-U1422E-2H-2-A,0,56,11,11.56,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,2,A,21
346-U1422E-2H-2-A,56,106,11.56,12.06,,silty clay [MMK88],,silty clay ,,,,inter-stratification,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,80,,,,,,,,,,,clay [Leg210],,clay ,clay ,clay ,5Y 3/2 (dark olive gray),20,,,,,100,,,,,,346,U1422,E,2,H,2,A,22
346-U1422E-2H-2-A,106,108,12.06,12.08,foraminifer rich,silt ,,foraminifer rich silt ,,,,,,,,,,,,,,,,,,,,,,foraminifer rich  silt ,silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,E,2,H,2,A,23
346-U1422E-2H-2-A,108,111,12.08,12.11,,silty clay ,,silty clay ,,,,inter-stratification,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,80,,,,,,,,,,,clay ,,clay ,clay ,clay ,5Y 3/2 (dark olive gray),20,,,,,100,,,,,,346,U1422,E,2,H,2,A,24
346-U1422E-2H-2-A,111,150,12.11,12.5,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,E,2,H,2,A,25
346-U1422E-2H-2-A,130,137,12.3,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microfault,,,,,,,,,,,,,,,,,,,,346,U1422,E,2,H,2,A,26
346-U1422E-2H-3-A,0,101,12.5,13.51,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,27
346-U1422E-2H-3-A,101,112,13.51,13.62,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,28
346-U1422E-2H-3-A,112,125.5,13.62,13.755,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,29
346-U1422E-2H-3-A,125.5,136.5,13.755,13.865,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,30
346-U1422E-2H-3-A,136.5,137,13.865,13.87,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,31
346-U1422E-2H-3-A,137,138.5,13.87,13.885,,tephra ,,tephra ,,,,,N 7 (light gray),,,,,,,,,,,,,,,,,tephra ,tephra ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,32
346-U1422E-2H-3-A,138.5,147.7,13.885,13.977,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,33
346-U1422E-2H-3-A,147.7,150,13.977,14,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,3,A,34
346-U1422E-2H-4-A,0,34,14,14.34,,silty clay ,,silty clay ,,,,color banding,10BG 6/1 (greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,4,A,35
346-U1422E-2H-4-A,34,35,14.34,14.35,,silty sand ,,silty sand ,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,silty sand ,silty sand ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1422,E,2,H,4,A,36
