Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
323-U1344A-1H-1-A,323,U1344,A,1,1-1,H,1,A,0,60,0,0.6,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5Y 4/3,,,,,,,,,,,,,,,,,0
323-U1344A-1H-1-A,323,U1344,A,1,1-1,H,1,A,60,150,0.6,1.5,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5Y 4/2,,,,,color change caused by water content,,,,,,,,,,,,1
323-U1344A-1H-2-A,323,U1344,A,1,1-2,H,2,A,0,150,1.5,3,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5Y 4/2,,,,,color change caused by water content,,,,,,,,,,,,2
323-U1344A-1H-3-A,323,U1344,A,1,1-3,H,3,A,0,150,3,4.5,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5Y 4/2,,,,,color change caused by water content,,,,,,,,,,,,3
323-U1344A-1H-4-A,323,U1344,A,1,1-4,H,4,A,0,56,4.5,5.06,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5Y 4/2,,,,,color change caused by water content,,,,,,,,,,,,4
323-U1344A-1H-4-A,323,U1344,A,1,1-4,H,4,A,56,67,5.06,5.17,silty clay [S54],"Shepard, 1954",,silty clay,100,soft,5Y 4/4,,,,,,,,,,,,,,,,,5
323-U1344A-1H-4-A,323,U1344,A,1,1-4,H,4,A,67,72,5.17,5.22,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,6
323-U1344A-1H-4-A,323,U1344,A,1,1-4,H,4,A,72,75,5.22,5.25,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 3/1,,,,,,,,,,,,,,,,,7
323-U1344A-1H-4-A,323,U1344,A,1,1-4,H,4,A,75,150,5.25,6,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,8
323-U1344A-1H-5-A,323,U1344,A,1,1-5,H,5,A,0,110,6,7.1,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,9
323-U1344A-1H-5-A,323,U1344,A,1,1-5,H,5,A,110,118,7.1,7.18,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,5Y 3/2,,,,,color change caused by mottling?,,,,,,,,,,,,10
323-U1344A-1H-5-A,323,U1344,A,1,1-5,H,5,A,118,150,7.18,7.5,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,11
323-U1344A-1H-6-A,323,U1344,A,1,1-6,H,6,A,0,106,7.5,8.56,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,12
323-U1344A-1H-6-A,323,U1344,A,1,1-6,H,6,A,106,150,8.56,9,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,13
323-U1344A-1H-CC-A,323,U1344,A,1,1-CC,H,CC,A,0,6,9,9.06,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,14
323-U1344A-2H-1-A,323,U1344,A,2,2-1,H,1,A,0,150,9.1,10.6,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,15
323-U1344A-2H-2-A,323,U1344,A,2,2-2,H,2,A,0,150,10.6,12.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,16
323-U1344A-2H-3-A,323,U1344,A,2,2-3,H,3,A,0,150,12.1,13.6,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,17
323-U1344A-2H-4-A,323,U1344,A,2,2-4,H,4,A,0,150,13.6,15.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,18
323-U1344A-2H-5-A,323,U1344,A,2,2-5,H,5,A,0,150,15.1,16.6,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,19
323-U1344A-2H-6-A,323,U1344,A,2,2-6,H,6,A,0,150,16.6,18.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,20
323-U1344A-2H-7-A,323,U1344,A,2,2-7,H,7,A,0,45,18.1,18.55,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,21
323-U1344A-2H-CC-A,323,U1344,A,2,2-CC,H,CC,A,0,12,18.55,18.67,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,22
323-U1344A-3H-1-A,323,U1344,A,3,3-1,H,1,A,0,150,18.6,20.1,diatom silt,Leg 323,,diatom silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,23
323-U1344A-3H-2-A,323,U1344,A,3,3-2,H,2,A,0,150,20.1,21.6,diatom silt,Leg 323,,diatom silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,24
323-U1344A-3H-3-A,323,U1344,A,3,3-3,H,3,A,0,150,21.6,23.1,diatom silt,Leg 323,,diatom silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,25
323-U1344A-3H-4-A,323,U1344,A,3,3-4,H,4,A,0,40,23.1,23.5,diatom silt,Leg 323,,diatom silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,26
323-U1344A-3H-4-A,323,U1344,A,3,3-4,H,4,A,40,150,23.5,24.6,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,27
