dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
,344-U1413C-2R-1-A,344,U1413,C,2,2-1,R,1,A,0,58,178,178.58,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly shell fragments, and some fish scales, silt is very weakly calcareous in area with more biogenic debris",,,,,,,,,,,,heavy [B06],5,,,,,,,,0
,344-U1413C-2R-1-A,344,U1413,C,2,2-1,R,1,A,58,123,178.58,179.23,fragmented,moderate to high [drilling disturbance],5,clayey,siltstone [USGS],with sand [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with sand ,silt [W22_1],2,sand [W22_1],3,"contains mm-cm-sized lighter colored clasts of sand-sized material (calcareous nannofossils), laminated",calcareous sand [Leg210],,lamellar,,10Y 5/1 (greenish gray),,,,,,,slight [B06],2,,,,,,,,1
,344-U1413C-2R-1-A,344,U1413,C,2,2-1,R,1,A,123,134,179.23,179.34,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly shell fragments, and some fish scales, silt is very weakly calcareous in area with more biogenic debris",,,,,,,,,,,,heavy [B06],5,,,,,,,,2
,344-U1413C-2R-2-A,344,U1413,C,2,2-2,R,2,A,0,59,179.34,179.93,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly shell fragments, and some fish scales, silt is weakly calcareous",,,,,,,,,,,,heavy [B06],5,,,,,,,,3
,344-U1413C-2R-2-A,344,U1413,C,2,2-2,R,2,A,59,83,179.93,180.17,fragmented,moderate to high [drilling disturbance],5,silty,sandstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),silty  sandstone ,silty sandstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains mm-cm-sized lighter colored clasts of sand-sized material (calcareous nannofossils), laminated to chaotic distribution of calcareous sand with normal grading from bottom to top ",calcareous sand [Leg210],,,,10Y 5/1 (greenish gray),,,,,,,slight [B06],2,,,,,,,,4
,344-U1413C-2R-2-A,344,U1413,C,2,2-2,R,2,A,83,119,180.17,180.53,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly shell fragments, and some fish scales, silt is very weakly calcareous in area with more biogenic debris",,,,,,,,,,,,heavy [B06],5,,,,,,,,5
,344-U1413C-2R-2-A,344,U1413,C,2,2-2,R,2,A,119,149,180.53,180.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,6
,344-U1413C-2R-3-A,344,U1413,C,2,2-3,R,3,A,0,60,180.83,181.43,fragmented,moderate to high [drilling disturbance],5,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly shell fragments, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,heavy [B06],5,,,,,,,,7
,344-U1413C-2R-3-A,344,U1413,C,2,2-3,R,3,A,60,113,181.43,181.96,fragmented,high [drilling disturbance],6,,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),siltstone ,siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly shell fragments; calcareous biogenic debris accumulates in mm- to cm-thick lenses and lumps that are chaotically distributed throughout the silt matrix, likely foraminifera, silt is very weakly calcareous in area with more biogenic debris",calcareous sand [Leg210],,,,10Y 5/1 (greenish gray),,,,,,,heavy [B06],5,,,,,,,,8
,344-U1413C-2R-3-A,344,U1413,C,2,2-3,R,3,A,113,150,181.96,182.33,fragmented,destroyed [drilling disturbance],8,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminafera, silt is very weakly calcareous in area with more biogenic debris",,,,,,,,,,,,,,,,,,,,,9
,344-U1413C-2R-4-A,344,U1413,C,2,2-4,R,4,A,0,71,182.33,183.04,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminafera, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,heavy [B06],5,bioturbatiom varies downsection,,,,,,,10
,344-U1413C-2R-4-A,344,U1413,C,2,2-4,R,4,A,71,80,183.04,183.13,fragmented,high [drilling disturbance],6,,tuff [MMK88],,N 4 (dark gray),tuff ,tuff ,silt [W22_1],2,silt [W22_1],2,cm-thick twisted bands of redeposited indurated tephra contained in clay matrix ,,,,,,,,,,,,,,,,,,,,,11
