Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
361,U1479,G,1,1-1,H,1,A,0,150,0,1.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-1-A,,,
361,U1479,G,1,1-2,H,2,A,0,150,1.5,3,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-2-A,,,
361,U1479,G,1,1-3,H,3,A,0,150,3,4.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-3-A,,,
361,U1479,G,1,1-4,H,4,A,0,139,4.5,5.89,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-4-A,,,
361,U1479,G,1,1-4,H,4,A,139,145,5.89,5.95,1,clayey,sand [2014],with nannofossils,clayey sand,clayey sand with nannofossils,sand with nannofossils,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,contourite,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-4-A,,,
361,U1479,G,1,1-4,H,4,A,145,150,5.95,6,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-4-A,,,
361,U1479,G,1,1-5,H,5,A,0,150,6,7.5,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-5-A,,,
361,U1479,G,1,1-6,H,6,A,0,110,7.5,8.6,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-6-A,,,
361,U1479,G,1,1-7,H,7,A,0,56,8.6,9.16,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-7-A,,,
361,U1479,G,1,1-CC,H,CC,A,0,13,9.16,9.29,1,,nannofossil ooze [2014],with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,light greenish gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1479G-1H-CC-A,,,
