Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
361,U1475,D,1,1-1,H,1,A,0,21,0.0,0.21,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,brown,5YR 7/2 (pinkish gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,burrows,slight,1,,,,,,,,,,361-U1475D-1H-1-A,,,
361,U1475,D,1,1-1,H,1,A,21,145,0.21,1.45,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,burrows,slight,1,,,,,,,,,,361-U1475D-1H-1-A,,,
361,U1475,D,1,1-2,H,2,A,0,140,1.5,2.9,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475D-1H-2-A,,,
361,U1475,D,1,1-3,H,3,A,0,41,3.0,3.41,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475D-1H-3-A,,,
361,U1475,D,1,1-3,H,3,A,41,145,3.41,4.45,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,slight,1,,,,,,,,,,361-U1475D-1H-3-A,,,
361,U1475,D,1,1-4,H,4,A,0,23,4.5,4.73,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475D-1H-4-A,,,
361,U1475,D,1,1-4,H,4,A,23,73,4.73,5.23,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475D-1H-4-A,,,
361,U1475,D,1,1-4,H,4,A,73,99,5.23,5.49,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475D-1H-4-A,,,
361,U1475,D,1,1-4,H,4,A,99,140,5.49,5.9,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475D-1H-4-A,,,
361,U1475,D,1,1-5,H,5,A,0,45,6.0,6.45,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,diagenetic stratification,,,,,,,burrows,slight,1,pyrite,mineral,,,,,,,,361-U1475D-1H-5-A,,,
