Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
376-U1530A-12R-1-A,12,150,59.62,61,,3,highly altered,plagioclase phyric,volcanic,lava,plagioclase phyric volcanic lava,,,,,porphyritic,,GLEY 2 6/10G (greenish gray),plagioclase seem all replaced and pseudomorphed,,,,"Pervasively altered, chlorite-rich, sulfide-rich.",,,,,plagioclase,20,5,2,euhedral,,"replaced or void, possible some may be preserved",,,,,,,,,,,,,,,20,,,,,,,,,,possibly a few vugs may be vesicles,,,,,,,,,,,,,,,,,,,376,U1530,A,12,R,1,A,,,,0
376-U1530A-12R-2-A,0,88,61,61.88,,3,highly altered,plagioclase phyric,volcanic,lava,plagioclase phyric volcanic lava,,,,,porphyritic,,GLEY 2 6/10G (greenish gray),plagioclase seem all replaced and pseudomorphed,,,,"Pervasively altered, chlorite-rich, disseminated pyrite, cross-cut by anhydrite veins",,,,,plagioclase,20,5,2,euhedral,,"replaced or void, possible some may be preserved",,,,,,,,,,,,,,,20,,,,,,,,,,possibly a few vugs may be vesicles,,,,,,,,,,,,,,,,,,,376,U1530,A,12,R,2,A,,,,1
376-U1530A-13R-1-A,3,10,64.33,64.4,,3,highly altered,,volcanic,lava,volcanic lava,,,,,porphyritic,,GLEY 2 6/5BG (greenish gray),,,,,"Pervasively altered, chlorite-rich, disseminated pyrite; many vugs, one >2 cm geoid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,13,R,1,A,,,,2
376-U1530A-46R-1-A,0,111,222.7,223.81,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 7/5PB (light bluish gray),,,,,"Light blueish gray altered volcanic rock. Some vugs and veins are filled with quartz, silica and sulfide minerals. Possible pseudomorphs after plagioclase. Quartz crystal grown in the vugs. Disseminated pyrite in the vugs and the veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,46,R,1,A,,,,3
376-U1530A-47R-1-A,0,32,227.5,227.82,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 7/5PB (light bluish gray),,,,,Light blueish gray altered volcanic rock. Some vugs and veins are filled with silica and sulfide minerals. Possible pseudomorphs after plagioclase. Pyrite in vugs and veins as well as disseminated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,47,R,1,A,,,,4
376-U1530A-48R-1-A,0,68,232.3,232.98,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 7/5PB (light bluish gray),,,,,Altered volcanic rock with distinction of clast and matrix almost impossible. Strong smell of H2S; some veins with pyrite; probably less silicified than previous cores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,48,R,1,A,,,,5
376-U1530A-49R-1-A,8,127,237.18,238.37,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"Texture is vanished, possibly some volcaniclastic 'ghost' structures or more coherent lava with variably alteration. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Many veins cross-cutting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,49,R,1,A,,,,6
376-U1530A-49R-2-A,0,57,238.37,238.94,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 5/N (gray),,,,,"Texture is vanished, possibly some volcaniclastic 'ghost' structures or more coherent lava with variably alteration. Texturally more fine grained as compared to Section 1. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. many veins cross-cutting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,49,R,2,A,,,,7
376-U1530A-50R-1-A,0,108,241.9,242.98,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 6/10B (bluish gray),,,,,Light blueish gray altered volcanic rock. Veins are filled with anhydrite and sulfide minerals. Pyrites in veins as well as disseminated. Primary textures mostly blurred. Smells of sulfur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,50,R,1,A,,,,8
376-U1530A-50R-2-A,0,63,242.98,243.61,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 6/10B (bluish gray),,,,,Light blueish gray altered volcanic rock. Veins are filled with anhydrite and sulfide minerals. Pyrites in veins as well as disseminated. Primary textures mostly blurred. Smells of sulfur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,50,R,2,A,,,,9
