Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
350-U1436D-2F-1-A,350,U1436,D,2,2-1,F,1,A,0,10,40,40.1,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
350-U1436D-2F-1-A,350,U1436,D,2,2-1,F,1,A,10,58,40.1,40.58,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],with mud [2014],"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash with mud",lapilli-ash with mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
350-U1436D-2F-1-A,350,U1436,D,2,2-1,F,1,A,58,150,40.58,41.5,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
350-U1436D-2F-2-A,350,U1436,D,2,2-2,F,2,A,0,60,41.5,42.1,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],with mud [2014],"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash with mud",lapilli-ash with mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
350-U1436D-2F-2-A,350,U1436,D,2,2-2,F,2,A,60,139,42.1,42.89,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
350-U1436D-2F-3-A,350,U1436,D,2,2-3,F,3,A,0,11,42.89,43,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
350-U1436D-2F-3-A,350,U1436,D,2,2-3,F,3,A,11,33,43,43.22,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
350-U1436D-2F-CC-A,350,U1436,D,2,2-CC,F,CC,A,0,18,43.22,43.4,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
350-U1436D-3F-1-A,350,U1436,D,3,3-1,F,1,A,0,25,43.4,43.65,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
350-U1436D-3F-1-A,350,U1436,D,3,3-1,F,1,A,25,48,43.65,43.88,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
350-U1436D-3F-1-A,350,U1436,D,3,3-1,F,1,A,48,59,43.88,43.99,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
350-U1436D-3F-1-A,350,U1436,D,3,3-1,F,1,A,59,121,43.99,44.61,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
350-U1436D-3F-2-A,350,U1436,D,3,3-2,F,2,A,0,4,44.61,44.65,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,gray,,very fine sand [W22_2],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
350-U1436D-3F-2-A,350,U1436,D,3,3-2,F,2,A,4,18,44.65,44.79,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,gray,,coarse sand [W22_2],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
350-U1436D-3F-2-A,350,U1436,D,3,3-2,F,2,A,18,52,44.79,45.13,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
350-U1436D-3F-2-A,350,U1436,D,3,3-2,F,2,A,52,81,45.13,45.42,I,,,,,lapilli-ash [2014],,lapilli-ash,lapilli-ash,lapilli-ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
350-U1436D-4F-1-A,350,U1436,D,4,4-1,F,1,A,0,44,45.4,45.84,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],with mud [2014],"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash with mud",lapilli-ash with mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
350-U1436D-4F-1-A,350,U1436,D,4,4-1,F,1,A,44,106,45.84,46.46,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
350-U1436D-4F-2-A,350,U1436,D,4,4-2,F,2,A,0,132,46.46,47.78,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
350-U1436D-4F-3-A,350,U1436,D,4,4-3,F,3,A,0,137,47.78,49.15,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
350-U1436D-5F-1-A,350,U1436,D,5,5-1,F,1,A,0,115,49.2,50.35,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],with mud [2014],"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash with mud",lapilli-ash with mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
350-U1436D-6F,350,U1436,D,6,,F,,,0,124,50.4,51.64,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli [2014],,"clast-supported, polymictic, evolved lapilli","clast-supported, polymictic, evolved lapilli",lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
350-U1436D-7F-1-A,350,U1436,D,7,7-1,F,1,A,0,82,51.7,52.52,I,,,,"clast-supported, polymictic",lapilli [2014],,"clast-supported, polymictic lapilli","clast-supported, polymictic lapilli",lapilli,,gray,,granule [W22_2],8,pebble [W22_2],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
350-U1436D-7F-1-A,350,U1436,D,7,7-1,F,1,A,82,94,52.52,52.64,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
350-U1436D-7F-1-A,350,U1436,D,7,7-1,F,1,A,94,95,52.64,52.65,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,brown,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
350-U1436D-7F-1-A,350,U1436,D,7,7-1,F,1,A,95,101,52.65,52.71,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
350-U1436D-7F-1-A,350,U1436,D,7,7-1,F,1,A,101,108,52.71,52.78,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,dark gray,,silt [W22_1],2,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
350-U1436D-7F-1-A,350,U1436,D,7,7-1,F,1,A,108,112,52.78,52.82,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,0,4,52.82,52.86,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,4,9,52.86,52.91,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,brown,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,9,13,52.91,52.95,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,foraminifer,R [A85],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,13,15,52.95,52.97,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,15,73,52.97,53.55,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,foraminifer,R [A85],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
