Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1427B-1H-1-A,0,150,0,1.5,nannofossil rich,clayey silt ,with sand ,nannofossil rich clayey silt  with sand ,,,,,5Y 3/1 (very dark gray),slight ,1,,,,,,,,,,,,,,,nannofossil rich  clayey silt ,clayey silt   with sand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,1,H,1,A
346-U1427B-1H-2-A,0,150,1.5,3,nannofossil rich,clayey silt ,with sand ,nannofossil rich clayey silt  with sand ,,,,,5Y 3/1 (very dark gray),slight ,1,,,,,,,,,,,,,,,nannofossil rich  clayey silt ,clayey silt   with sand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,1,H,2,A
346-U1427B-1H-3-A,0,100,3,4,nannofossil rich,clayey silt ,with sand ,nannofossil rich clayey silt  with sand ,,,,,5Y 3/1 (very dark gray),slight ,1,,,,,,,,,,,,,,,nannofossil rich  clayey silt ,clayey silt   with sand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,1,H,3,A
346-U1427B-1H-4-A,0,54,4,4.54,volcanic glass rich,sandy silt ,,volcanic glass rich sandy silt ,,,,,5Y 3/1 (very dark gray),slight ,1,,,,,,,,,,,,,,,volcanic glass rich  sandy silt ,sandy silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,1,H,4,A
346-U1427B-1H-CC-A,0,26,4.54,4.8,volcanic glass rich,sandy silt ,,volcanic glass rich sandy silt ,,,,,5Y 3/1 (very dark gray),slight ,1,,,,,,,,,,,,,,,volcanic glass rich  sandy silt ,sandy silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,1,H,CC,A
346-U1427B-2H-1-A,0,150,4.8,6.3,,sandy silt ,with volcanic ash ,sandy silt  with volcanic ash ,,,,,10Y 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,1,A
346-U1427B-2H-2-A,0,75,6.3,7.05,clayey ,sandy silt ,with volcanic ash ,clayey  sandy silt  with volcanic ash ,,,,,5GY 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,clayey   sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,2,A
346-U1427B-2H-2-A,75,81,7.05,7.11,,tephra ,,tephra ,pumice,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,2,A
346-U1427B-2H-2-A,81,150,7.11,7.8,clayey ,sandy silt ,with volcanic ash ,clayey  sandy silt  with volcanic ash ,,,,,5GY 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,clayey   sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,2,A
346-U1427B-2H-3-A,0,150,7.8,9.3,clayey ,sandy silt ,with volcanic ash ,clayey  sandy silt  with volcanic ash ,,,,,5GY 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,clayey   sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,3,A
346-U1427B-2H-4-A,0,120,9.3,10.5,clayey ,sandy silt ,with volcanic ash ,clayey  sandy silt  with volcanic ash ,,,,,5GY 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,clayey   sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,4,A
346-U1427B-2H-4-A,120,133,10.5,10.63,,tephra ,,tephra ,vitric,,,normal grading,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,4,A
346-U1427B-2H-4-A,133,150,10.63,10.8,clayey ,sandy silt ,with volcanic ash ,clayey  sandy silt  with volcanic ash ,,,,,5GY 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,clayey   sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,4,A
346-U1427B-2H-5-A,0,140,10.8,12.2,nannofossil rich,sandy silt ,with volcanic ash ,nannofossil rich sandy silt  with volcanic ash ,,,,,10Y 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,nannofossil rich  sandy silt ,sandy silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,B,2,H,5,A
