Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
353-U1445C-1H-1-A,0,80,0,0.8,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,brown,5Y 4/3 (olive),gradational,,,,,,,,,,,,,,,,353,U1445,C,1,H,1,A,,,,0
353-U1445C-1H-1-A,80,150,0.8,1.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1445,C,1,H,1,A,,,,1
353-U1445C-1H-2-A,0,150,1.5,3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1445,C,1,H,2,A,,,,2
353-U1445C-1H-3-A,0,133,3,4.33,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1445,C,1,H,3,A,,,,3
353-U1445C-1H-CC-A,0,15,4.33,4.48,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,353,U1445,C,1,H,CC,A,,,,4
353-U1445C-2H-1-A,0,79,4.4,5.19,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),gradational,,,,,,,,,,,,,,,,353,U1445,C,2,H,1,A,,,,5
353-U1445C-2H-1-A,79,80,5.19,5.2,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,1,A,,,,6
353-U1445C-2H-1-A,80,98,5.2,5.38,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),gradational,,,,,,,,,,,,,,,,353,U1445,C,2,H,1,A,,,,7
353-U1445C-2H-1-A,98,100,5.38,5.4,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,inclined,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,1,A,,,,8
353-U1445C-2H-1-A,100,137,5.4,5.77,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),gradational,,,,,,,,,,,,,,,,353,U1445,C,2,H,1,A,,,,9
353-U1445C-2H-1-A,137,139,5.77,5.79,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,1,A,,,,10
353-U1445C-2H-1-A,139,150,5.79,5.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,1,A,,,,11
353-U1445C-2H-2-A,0,82,5.9,6.72,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,2,A,,,,12
353-U1445C-2H-2-A,82,85,6.72,6.75,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,2,A,,,,13
