Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
376-U1527C-11R-1-A,0,24,185.2,185.44,,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,5Y 3/1 (very dark gray),cemented,medium pebble,6,very large pebble,8,yellowish-brown alteration in the groundmass,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,,,,,,,,,,,"1 clast type: slightly altered, fine-grained plagioclase-bearing subangular volcanic clast.",other,,,well,65,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,11,R,1,A,,,
376-U1527C-11R-1-A,24,52,185.44,185.72,,,,,,"matrix-supported, monomict",tuff-breccia,,"matrix-supported, monomict tuff-breccia",,5Y 3/1 (very dark gray),cemented,large pebble,7,cobble,9,"light gray alteration in the groundmass, lager sized (up to 90 mm) clasts",,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,,,,,,,,,,,"1 clast type: slightly altered, fine-grained plagioclase-bearing subangular volcanic clast.",other,,,well,50,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,11,R,1,A,,,
376-U1527C-11R-1-A,52,120,185.72,186.4,,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,sand,3,cobble,9,light-gray-greenish alteration in the ground mass. very washed out boundaries therefore unknown clast sizes - possibly just differently altered tuff an no bigger clasts? if real boundaries large (up to 90 mm) sized clasts,,,,,moderate,,,volcanic,,,,,,,,,volcanic,,,,,,,,,,,,"1 clast type: light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast. Unclear boundaries to potential clasts, so rounding difficult to determine. Fiamme-like structure?",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,11,R,1,A,,,
376-U1527C-11R-1-A,120,146,186.4,186.66,,,,,,"matrix-supported, monomict",lapillistone,,"matrix-supported, monomict lapillistone",,2.5Y 6/2 (light brownish gray),cemented,small pebble,5,large pebble,7,"brownish alteration, igneous textures are indistinct",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,1 clast type: subangular volcanic clast.,other,,,well,20,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,11,R,1,A,,,
376-U1527C-11R-2-A,0,133,186.66,187.99,,,,,,"matrix-supported, monomict",tuff-breccia,,"matrix-supported, monomict tuff-breccia",,GLEY 2 5/10B (bluish gray),cemented,medium pebble,6,cobble,9,intense alteration with sharp color change from greenish to brownish (from 0 to 22 and from 118-133),,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,,,,,,,,,,,"1 clast type: light green, moderately altered, fine-grained plagioclase-bearing subangular volcanic clast.",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,11,R,2,A,,,
376-U1527C-11R-3-A,0,33,187.99,188.32,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,5y 4/1 (dark gray),cemented,granule,4,large pebble,7,"sharp color change from light green to brown, brown predominant",,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",sub-rounded,,,,,,,,,,,"1 clast type: light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast. varying degree of alteration on the clasts",other,,,well,40,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,11,R,3,A,,,
376-U1527C-12R-1-A,0,7,194.8,194.87,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 1 3/N (very dark gray),cemented,granule,4,large pebble,7,dark-brown highly altered matrix,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,volcanic,sub-rounded,,,,,,,,,"2 clast types: (1) brownish, moderately altered, fine-grained subrounded volcanic clast & (2) dark, fine-grained, plagioclase-bearing slightly altered to fresh subangular clast. Varying degree of alteration",other,,,well,60,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,12,R,1,A,,,
376-U1527C-12R-1-A,7,147,194.87,196.27,,,,,,"matrix-supported, polymict",tuff-breccia,,"matrix-supported, polymict tuff-breccia",,GLEY 2 5/10B (bluish gray),cemented,medium pebble,6,cobble,9,light greenish altered matrix + brownish alteration with sharp contact,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,microcrystalline lapilli,subangular,,,,,,,,,"2 clast types: (1) light green, variably altered, fine-grained subrounded volcanic clast - sometimes containing clast 2 - with dark fine-grained foliations (""fiamme"") & (2) dark, fine to medium-grained, slightly altered to fresh subangular volcanic clasts. Reasonably fresh plagioclase phenocrysts were only visible in the fine-grained dark material.",other,,,well,15,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,12,R,1,A,,,
376-U1527C-12R-2-A,0,135,196.27,197.62,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5BG (greenish gray),cemented,small pebble,5,very large pebble,8,light greenish altered matrix,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",sub-rounded,microcrystalline lapilli,sub-rounded,,,,,,,,,"2 clast types: (1) light green, variably altered, fine-grained subrounded volcanic clast (2) dark, fine-grained, altered subrounded volcanic clast. Sometimes included in type 1 clast",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,12,R,2,A,,,
376-U1527C-13R-1-A,0,15,199.6,199.75,,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 1 5/10Y (greenish gray),cemented,granule,4,large pebble,7,"medium greenish-gray altered matrix, altered volcanic clast",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"1 clast type: light green, highly altered, fine-grained plagioclase-bearing subrounded volcanic clast.",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,13,R,1,A,,,
