Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,0.0,6.0,0.0,0.06,,mud [Leg210],,mud ,,,,5YR 5/4 (reddish brown),,,,,,,,,,,,,,disturbance,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,6.0,15.0,0.06,0.15,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,15.0,31.0,0.15,0.31,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 4/2 (dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,31.0,32.0,0.31,0.32,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,10YR 3/1 (very dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,32.0,54.0,0.32,0.54,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,54.0,56.0,0.54,0.56,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,56.0,78.0,0.56,0.78,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-1-A,341,U1417,B,1,1-1,H,1,A,78.0,150.0,0.78,1.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-1H-2-A,341,U1417,B,1,1-2,H,2,A,0.0,150.0,1.5,3.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,weakly laminated,,,,,,,,
341-U1417B-1H-3-A,341,U1417,B,1,1-3,H,3,A,0.0,150.0,3.0,4.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,brown silt layer:37-38cm,,,,,,,,
341-U1417B-1H-4-A,341,U1417,B,1,1-4,H,4,A,0.0,70.0,4.5,5.2,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts present, but sparse",,,,,,,,
341-U1417B-1H-CC-A,341,U1417,B,1,1-CC,H,CC,A,0.0,4.5,5.2,5.245,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,
