Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Lithology Suffix,Minor Lithology Prefix,Lithology Prefix,Minor Lithology Suffix
340-U1401B-1H-1-A,340,U1401,B,1,1-1,H,1,A,0,99,0,0.99,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,"Soupy, volcaniclastic sand",1,0,,0,,50,pebble [W22_2],0,,0,,0,,50,pebble [W22_2],,other: mud clast,rounded,10,5,10,0,70,0,0,0,0,5,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-1-A,340,U1401,B,1,1-1,H,1,A,99,104,0.99,1.04,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic mud,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,30,0,20,10,20,20,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-1-A,340,U1401,B,1,1-1,H,1,A,104,111,1.04,1.11,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Volcaniclastic turbidite?,0,0,,0,,0,,0,,0,,0,,0,,,,,20,0,0,0,80,0,0,0,0,0,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-1-A,340,U1401,B,1,1-1,H,1,A,111,123,1.11,1.23,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic mud,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,30,5,5,50,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-1-A,340,U1401,B,1,1-1,H,1,A,123,133,1.23,1.33,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Volcaniclastic turbidite?,0,0,,0,,0,,0,,0,,0,,0,,,,,0,10,20,0,70,0,0,0,0,0,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-1-A,340,U1401,B,1,1-1,H,1,A,133,150,1.33,1.5,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic mud,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,30,5,5,50,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-2-A,340,U1401,B,1,1-2,H,2,A,0,2,1.5,1.52,slight to moderate [drilling disturbance],3,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic mud,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,30,5,5,50,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-2-A,340,U1401,B,1,1-2,H,2,A,2,8,1.52,1.58,slight to moderate [drilling disturbance],3,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Volcaniclastic turbidite? or ash fall?,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,70,0,10,0,0,0,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-2-A,340,U1401,B,1,1-2,H,2,A,8,20,1.58,1.7,slight to moderate [drilling disturbance],3,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic mud,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,30,5,5,50,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-2-A,340,U1401,B,1,1-2,H,2,A,20,26,1.7,1.76,slight to moderate [drilling disturbance],3,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,Mixed turbidite?,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,15,0,0,20,15,45,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1401B-1H-2-A,340,U1401,B,1,1-2,H,2,A,26,31,1.76,1.81,slight to moderate [drilling disturbance],3,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic mud,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,30,5,5,50,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,
