Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
376-U1531E-3G-1-A,0,150,17.9,19.4,1,,,,,monomict,lapilli-ash,,monomict lapilli-ash,,GLEY 1 2.5/N (black),,sand,3,granule,4,artificial grading from coarse ash to fine lapilli,,,,,moderate,,,vitric,,,volcaniclastic,sub-rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1531,E,3,G,1,A,,,,0
376-U1531E-3G-2-A,0,18,19.4,19.58,1,,,,,monomict,lapilli tephra,,monomict lapilli tephra,,GLEY 1 2.5/N (black),,small pebble,5,medium pebble,6,artificial grading from granule to small pebble.,,,,,moderate,,,vitric,,,,,,,,,"volcanic, felsic",sub-rounded,,,,,,,,,,,fragments of dacite with microfractures and often aligned elongated vesicles,,,,,,,,,,,,,,,,,,,,,,,,376,U1531,E,3,G,2,A,,,,1
