Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
369-U1516A-1H-1-A,0,150,0,1.5,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,Black oxides/manganese nodules at 100-151 cm.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,1,H,1,A,,,
369-U1516A-1H-2-A,0,105,1.5,2.55,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,,color boundary or contact,curved,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,1,H,2,A,,,
369-U1516A-1H-2-A,105,148,2.55,2.98,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,"There are bluish green streaks at 109, 115 and between 140-142 cm.",,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,1,H,2,A,,,
369-U1516A-1H-3-A,0,147,3.03,4.5,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,"There are bluish green streaks at 44-46, 53, 72, 78, 81-83, 86, 87, 89, 91 and 102cm",,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,1,H,3,A,,,
369-U1516A-1H-CC-A,0,18,4.5,4.68,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,1,H,CC,A,,,
369-U1516A-2H-1-A,0,150,4.7,6.2,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,"There are bluish green streaks at 27-28, 50-51, 108, 119-125 and 134 cm.",,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,1,A,,,
369-U1516A-2H-2-A,0,150,6.2,7.7,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,There are bluish green streaks at 106 and 114-118 cm.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,2,A,,,
369-U1516A-2H-3-A,0,150,7.7,9.2,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,There are bluish green streaks between 8-42 cm,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,3,A,,,
369-U1516A-2H-4-A,0,139,9.2,10.59,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,4,A,,,
369-U1516A-2H-5-A,0,150,10.71,12.21,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,Becomes greenish white between 117-150 cm.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,5,A,,,
369-U1516A-2H-6-A,0,151,12.21,13.72,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,There are bluish green streaks between 89-95 cm.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,6,A,,,
369-U1516A-2H-7-A,0,64,13.72,14.36,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,There are bluish green streaks between 25-26 cm. There is also an interval of foraminifera ooze with sponge spicules between 23-34 cm.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,7,A,,,
369-U1516A-2H-CC-A,0,19,14.36,14.55,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,fine sand [W22_2],4,,,none,0,"There are bluish green streaks at 2, and between 10-13 and 17-18 cm.",,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,A,2,H,CC,A,,,
