Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
320-U1331B-1H-1-A,320,U1331,B,1,1-1,H,1,A,0,150,0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,,soft,10YR 3/2,,,,,,,0
320-U1331B-1H-2-A,320,U1331,B,1,1-2,H,2,A,0,150,1.5,3,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,,soft,10YR 3/2,,,,,,,1
320-U1331B-1H-3-A,320,U1331,B,1,1-3,H,3,A,0,150,3,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,,soft,10YR 3/2,,,,,,,2
320-U1331B-1H-4-A,320,U1331,B,1,1-4,H,4,A,0,150,4.5,6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,,soft,10YR 3/2,,,,,,,3
320-U1331B-1H-5-A,320,U1331,B,1,1-5,H,5,A,0,52,6,6.52,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,,soft,10YR 3/2,,,,,,,4
320-U1331B-1H-5-A,320,U1331,B,1,1-5,H,5,A,52,150,6.52,7.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,,soft,10YR 5/4,,,,,,,5
320-U1331B-1H-6-A,320,U1331,B,1,1-6,H,6,A,0,33,7.5,7.83,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,,soft,10YR 5/4,,,,,,,6
320-U1331B-1H-6-A,320,U1331,B,1,1-6,H,6,A,33,150,7.83,9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,,soft,10YR 7/3,,,,,,,7
320-U1331B-1H-7-A,320,U1331,B,1,1-7,H,7,A,0,74,9,9.74,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,,soft,10YR 7/3,,,,,,,8
320-U1331B-1H-7-A,320,U1331,B,1,1-7,H,7,A,74,77,9.74,9.77,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,,soft,10YR 5/4,,,,,,,9
