Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
361,U1477,A,1,1-1,H,1,A,0,150,0,1.5,1,sandy,clay [2014],with foraminifers,clayey sand,clayey sand with foraminifers,sand with foraminifers,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,abundant [A79],,,,,361-U1477A-1H-1-A,,,
361,U1477,A,1,1-2,H,2,A,0,145,1.5,2.95,1,sandy,clay [2014],with foraminifers,clayey sand,clayey sand with foraminifers,sand with foraminifers,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,abundant [A79],,,,,361-U1477A-1H-2-A,,,
361,U1477,A,1,1-3,H,3,A,0,60,3,3.6,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,5Y 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477A-1H-3-A,,,
361,U1477,A,1,1-3,H,3,A,60,150,3.6,4.5,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,7.5YR 4/1 (dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1477A-1H-3-A,,,
361,U1477,A,1,1-4,H,4,A,0,145,4.5,5.95,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1477A-1H-4-A,,,
361,U1477,A,1,1-5,H,5,A,0,130,6,7.3,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1477A-1H-5-A,,,
361,U1477,A,1,1-CC,H,CC,A,0,21,7.3,7.51,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,361-U1477A-1H-CC-A,,,
361,U1477,A,2,2-1,H,1,A,0,150,7.5,9,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477A-2H-1-A,,,
361,U1477,A,2,2-2,H,2,A,0,145,9,10.45,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477A-2H-2-A,,,
361,U1477,A,2,2-3,H,3,A,0,150,10.5,12,2a,silty,clay [2014],,silty clay,silty clay,clay,dark gray,10YR 3/1 (very dark gray),unconsolidated [2014],clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,,shell fragment,present [A79],,,,,361-U1477A-2H-3-A,,,
