Sample,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
330-U1376A-1R-1-A,330,U1376,A,1,R,1,A,0,29,0,0.29,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-1-A,330,U1376,A,1,R,1,A,29,43,0.29,0.43,brown,volcanic,Sandstone [MMK88],,volcanic Sandstone,,fine sand [U14W22],3,,lithified,possible turbidite,,,,
330-U1376A-1R-1-A,330,U1376,A,1,R,1,A,43,71,0.43,0.71,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-1-A,330,U1376,A,1,R,1,A,71,75,0.71,0.75,brown,volcanic,Sandstone [MMK88],,volcanic Sandstone,,fine sand [U14W22],3,,lithified,possible turbidite,,,,
330-U1376A-1R-1-A,330,U1376,A,1,R,1,A,75,145,0.75,1.45,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-2-A,330,U1376,A,1,R,2,A,0,7,1.45,1.52,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-2-A,330,U1376,A,1,R,2,A,0,56.5,1.45,2.015,,,,,,,,5,,,,,,,
330-U1376A-1R-2-A,330,U1376,A,1,R,2,A,7,56.5,1.52,2.015,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-1R-2-A,330,U1376,A,1,R,2,A,56.5,127,2.015,2.72,multicolor,volcanic,sandstone [MMK88],,volcanic sandstone,,very coarse sand [U14W22],4,angular (Default),lithified,,,,,
330-U1376A-1R-2-A,330,U1376,A,1,R,2,A,127,130,2.72,2.75,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-3-A,330,U1376,A,1,R,3,A,0,69,2.75,3.44,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-3-A,330,U1376,A,1,R,3,A,69,100,3.44,3.75,grayish brown,volcanic,Sandstone [MMK88],,volcanic Sandstone,,medium sand [U14W22],4,,lithified,possible turbidite,,,,
330-U1376A-1R-3-A,330,U1376,A,1,R,3,A,100,130,3.75,4.05,multicolor,volcanic,sandstone [MMK88],,volcanic sandstone,,very coarse sand [U14W22],4,angular (Default),lithified,,,,,
330-U1376A-1R-3-A,330,U1376,A,1,R,3,A,130,145,4.05,4.2,brown,volcanic,Sandstone [MMK88],,volcanic Sandstone,,very coarse sand [U14W22],4,,lithified,possible turbidite,,,,
330-U1376A-1R-4-A,330,U1376,A,1,R,4,A,0,30,4.2,4.5,brown,volcanic,Sandstone [MMK88],,volcanic Sandstone,,very coarse sand [U14W22],4,,lithified,possible turbidite,,,,
