Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
362-U1480A-1H-1-A,0,6,0,0.06,IIA,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,2.5YR 7/1 (light reddish gray),wavy,sharp,wavy sharp,sub-horizontal,thin bed [B01],unlithified [Leg194],medium sand [W22_2],5,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,6,78,0.06,0.78,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,78,78.2,0.78,0.782,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,78.2,85,0.782,0.85,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,85,85.5,0.85,0.855,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,85.5,98,0.855,0.98,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,98,98.5,0.98,0.985,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,98.5,113,0.985,1.13,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,113,116,1.13,1.16,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,116,129,1.16,1.29,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,129,132,1.29,1.32,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,sharp,curviplanar sharp,,thin lamina [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,132,138.5,1.32,1.385,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,138.5,139.5,1.385,1.395,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,sharp,curviplanar sharp,,thin lamina [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,139.5,145,1.395,1.45,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,145,145.5,1.45,1.455,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,sharp,curviplanar sharp,,thin lamina [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-1-A,145.5,150,1.455,1.5,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,1,A,,,
362-U1480A-1H-2-A,0,20.5,1.5,1.705,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-2-A,20.5,22.5,1.705,1.725,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-2-A,22.5,30,1.725,1.8,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-2-A,30,31.5,1.8,1.815,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10GY (very dark greenish gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-2-A,31.5,98.5,1.815,2.485,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-2-A,98.5,99.5,2.485,2.495,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/10GY (very dark greenish gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],unlithified [Leg194],fine sand [W22_2],4,normally graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-2-A,99.5,150,2.495,3,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,2,A,,,
362-U1480A-1H-3-A,0,3,3,3.03,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,A,1,H,3,A,,,
