Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data,,,,,,,,,,,,,,,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1366F-1H-1-A,329,U1366,F,1,1-1,H,1,A,0,50,0,0.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,0
329-U1366F-1H-1-A,329,U1366,F,1,1-1,H,1,A,140,150,1.4,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,1
329-U1366F-1H-2-A,329,U1366,F,1,1-2,H,2,A,100,150,2.5,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,2
329-U1366F-1H-3-A,329,U1366,F,1,1-3,H,3,A,50,60,3.5,3.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,3
329-U1366F-1H-3-A,329,U1366,F,1,1-3,H,3,A,80,150,3.8,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,4
329-U1366F-1H-4-A,329,U1366,F,1,1-4,H,4,A,30,90,4.8,5.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,5
329-U1366F-1H-CC-A,329,U1366,F,1,1-CC,H,CC,A,0,14,5.4,5.54,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,6
329-U1366F-2H-1-A,329,U1366,F,2,2-1,H,1,A,0,10,5.5,5.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,7
329-U1366F-2H-1-A,329,U1366,F,2,2-1,H,1,A,50,150,6,7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,8
329-U1366F-2H-2-A,329,U1366,F,2,2-2,H,2,A,0,50,7,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,9
329-U1366F-2H-2-A,329,U1366,F,2,2-2,H,2,A,60,150,7.6,8.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,10
