Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
350-U1436B-1H-1-A,350,U1436,B,1,1-1,H,1,A,0,10,0,0.1,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,light brown,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,0
350-U1436B-2H-1-A,350,U1436,B,1,1-1,H,1,A,10,44,0.1,0.44,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
350-U1436B-2H-1-A,350,U1436,B,1,1-1,H,1,A,44,52,0.44,0.52,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,2
350-U1436B-2H-2-A,350,U1436,B,1,1-1,H,1,A,52,83,0.52,0.83,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],angular,,,,,,,,,,,,,,,,,,,,,,3
350-U1436B-2H-2-A,350,U1436,B,1,1-1,H,1,A,83,85,0.83,0.85,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,,,,,4
350-U1436B-2H-2-A,350,U1436,B,1,1-1,H,1,A,85,118,0.85,1.18,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],angular,,,,,,,,,,,,,,,,,,,,,,5
350-U1436B-2H-4-A,350,U1436,B,1,1-1,H,1,A,118,128,1.18,1.28,I,,,,"clast-supported, monomictic, mafic [2014]",lapilli [2014],,"clast-supported, monomictic, mafic lapilli","clast-supported, monomictic, mafic lapilli",lapilli,,dark gray,,coarse sand [W22_2],6,pebble [W22_2],9,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],angular,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,6
350-U1436B-2H-4-A,350,U1436,B,1,1-1,H,1,A,128,150,1.28,1.5,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
350-U1436B-2H-4-A,350,U1436,B,1,1-2,H,2,A,0,17,1.5,1.67,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
350-U1436B-2H-4-A,350,U1436,B,1,1-2,H,2,A,17,22,1.67,1.72,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
