Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
354-U1451A-1H-1-A,0,35,0,0.35,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,yellow,gradational,,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,1,H,1,A,,,,0
354-U1451A-1H-1-A,35,150,0.35,1.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,,,,,,,,mottling [BJ80],,,,Indurated green layers.,,,,354,U1451,A,1,H,1,A,,,,1
354-U1451A-1H-2-A,0,107,1.5,2.57,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,1,H,2,A,,,,2
354-U1451A-1H-2-A,107,127,2.57,2.77,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1451,A,1,H,2,A,,,,3
354-U1451A-1H-2-A,127,150,2.77,3,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,1,H,2,A,,,,4
354-U1451A-1H-3-A,0,103,3,4.03,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,gradational,,,,,,,burrows,,,,,,,,354,U1451,A,1,H,3,A,,,,5
354-U1451A-1H-3-A,103,146,4.03,4.46,,,calcareous clay [Leg210]c,with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark green,,,,,,,,mottling [BJ80],,,,9 cm ash pocket,,,,354,U1451,A,1,H,3,A,,,,6
354-U1451A-1H-4-A,0,111,4.5,5.61,,,calcareous clay [Leg210]c,,calcareous clay,calcareous clay,calcareous clay,,dark green,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,1,H,4,A,,,,7
354-U1451A-1H-5-A,0,79,5.61,6.4,,,calcareous clay [Leg210]c,with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark green,,,,,,,,mottling [BJ80],,,,3 cm ash pocket,,,,354,U1451,A,1,H,5,A,,,,8
354-U1451A-1H-CC-A,0,16,6.4,6.56,,,calcareous clay [Leg210]c,,calcareous clay,calcareous clay,calcareous clay,,dark green,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,1,H,CC,A,,,,9
