Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
320-U1332C-1H-1-A,320,U1332,C,1,1-1,H,1,A,0,3,0,0.03,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/3,,,,,,,0
320-U1332C-1H-2-A,320,U1332,C,1,1-1,H,1,A,3,150,0.03,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,1
320-U1332C-1H-3-A,320,U1332,C,1,1-2,H,2,A,0,150,1.5,3,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,2
320-U1332C-1H-4-A,320,U1332,C,1,1-3,H,3,A,0,150,3,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,3
320-U1332C-1H-5-A,320,U1332,C,1,1-4,H,4,A,0,150,4.5,6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,4
320-U1332C-1H-CC-A,320,U1332,C,1,1-5,H,5,A,0,127,6,7.27,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,5
320-U1332C-2H-1-A,320,U1332,C,1,1-CC,H,CC,A,0,18,7.27,7.45,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,6
320-U1332C-2H-2-A,320,U1332,C,2,2-1,H,1,A,0,65,7.5,8.15,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with radiolarians,Zeolite Clay with radiolarians,100,soft,10YR 6/4,,,,,,,7
320-U1332C-2H-3-A,320,U1332,C,2,2-1,H,1,A,65,150,8.15,9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 5/2,,,,,,,8
320-U1332C-2H-4-A,320,U1332,C,2,2-2,H,2,A,0,150,9,10.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 5/2,,,,,,,9
