Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Lithology Suffix,Minor Lithology Prefix,Lithology Prefix,Minor Lithology Suffix,row_index
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,0,21,0,0.21,minimal [drilling disturbance],1,volcanic fine sand [Leg152],100,very fine mud [T07],1,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,99,0,0,1,0,0,,well [BP01],absent [alteration],0,"At the bottom of this volcanic sand, biogenic materials are concentrated up to 20 %/
",,,,,,,,,,,,,0
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,21,42,0.21,0.42,minimal [drilling disturbance],1,calcareous ooze [Leg339],100,silt-fine mud [T07],2,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,moderate [BP01],absent [alteration],0,"The lower part has gray in color and the upper part is brownish yellow, which may suggest different contents of volcaniclastic materials, but it hard to detect from microscope.",,,,,,,,,,,,,1
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,42,59,0.42,0.59,moderate [drilling disturbance],4,calcareous ooze [Leg339],100,silt-fine mud [T07],2,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,2
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,59,71,0.59,0.71,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,0,90,0,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,3
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,71,107,0.71,1.07,minimal [drilling disturbance],1,calcareous ooze [Leg339],100,silt-fine mud [T07],2,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,4
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,107,114,1.07,1.14,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,0,90,0,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,5
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,114,145,1.14,1.45,minimal [drilling disturbance],1,calcareous ooze [Leg339],100,silt-fine mud [T07],2,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,6
340-U1395B-1H-1-A,340,U1395,B,1,1-1,H,1,A,145,150,1.45,1.5,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,0,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0.5,0,0,99.5,0,0,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,7
340-U1395B-1H-2-A,340,U1395,B,1,1-2,H,2,A,0,62,1.5,2.12,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,2,0,3,10,85,0,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,8
340-U1395B-1H-2-A,340,U1395,B,1,1-2,H,2,A,62,66,2.12,2.16,minimal [drilling disturbance],1,calcareous sand [Leg210],50,coarse sand [T07],7,volcanic gravel [Leg152],50,pebble [W22_2],9,100,Pebble concentrating in the top of midium sand layer below,50,50,,0,,0,,20,,30,,0,,0,,,,rounded,0,0,2,0,10,0,3,15,70,0,,poor [BP01],absent [alteration],0,,,,,,90,,,,,,,,9
