Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
366-U1496C-1R-1-A,0,4,0,0.04,,,,,curviplanar,scoured,horizontal,,pebbly mud,with lithic clasts,pebbly mud with lithic clasts,GLEY 1 8/10Y (light greenish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,,5,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,1,R,1,A,,,
366-U1496C-1R-1-A,4,65,0.04,0.65,,,,,curviplanar,scoured,horizontal,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 4/10B (dark bluish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,,1,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,1,R,1,A,,,
366-U1496C-1R-1-A,65,90,0.65,0.9,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/10BG (light greenish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,,1,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,1,R,1,A,,,
366-U1496C-1R-1-A,90,144,0.9,1.44,,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,1,R,1,A,,,
366-U1496C-1R-2-A,0,90,1.44,2.34,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/10BG (light greenish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,,1,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,1,R,2,A,,,
366-U1496C-1R-CC-A,0,11,2.34,2.45,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/10BG (light greenish gray),,lithified,clay,1,pebble,9,,poor,,,,,1,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,1,R,CC,A,,,
366-U1496C-5R-1-A,0,25,36.6,36.85,,,,,,,,,harzburgite,clast,harzburgite clast,GLEY 2 3/5B (very dark bluish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,5,R,1,A,,,
366-U1496C-7R-1-A,0,10,55.6,55.7,,,,,,,,,harzburgite,clast,harzburgite clast,GLEY 2 3/5B (very dark bluish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,7,R,1,A,,,
366-U1496C-11R-1-A,0,50,93.9,94.4,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,5,pebble,10,cobble,10,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,1,A,,,
366-U1496C-11R-1-A,0,119,93.9,95.09,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,11,R,1,A,,,
366-U1496C-11R-2-A,0,25,95.09,95.34,,,,,,,,serpentinite,mud,,serpentinite mud,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,,,10,,10,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,2,A,,,
366-U1496C-11R-2-A,25,115,95.34,96.24,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,11,R,2,A,,,
366-U1496C-11R-3-A,0,108,96.24,97.32,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,5,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,3,A,,,
